date,pwv,tp
2018/2/14 0:00,13.85,1e-05
2018/2/14 0:15,13.75,1e-05
2018/2/14 0:30,13.82,1e-05
2018/2/14 0:45,13.86,1e-05
2018/2/14 1:00,13.69,1e-05
2018/2/14 1:15,13.79,1e-05
2018/2/14 1:30,14.04,1e-05
2018/2/14 1:45,14.6,1e-05
2018/2/14 2:00,15.43,1e-05
2018/2/14 2:15,16.08,1e-05
2018/2/14 2:30,16.63,1e-05
2018/2/14 2:45,17.41,1e-05
2018/2/14 3:00,17.84,1e-05
2018/2/14 3:15,18.08,1e-05
2018/2/14 3:30,17.84,1e-05
2018/2/14 3:45,17.83,1e-05
2018/2/14 4:00,17.93,1e-05
2018/2/14 4:15,17.67,1e-05
2018/2/14 4:30,17.6,1e-05
2018/2/14 4:45,17.7,1e-05
2018/2/14 5:00,18.03,1e-05
2018/2/14 5:15,17.84,1e-05
2018/2/14 5:30,17.72,1e-05
2018/2/14 5:45,17.62,1e-05
2018/2/14 6:00,17.71,1e-05
2018/2/14 6:15,17.69,1e-05
2018/2/14 6:30,17.74,1e-05
2018/2/14 6:45,17.6,1e-05
2018/2/14 7:00,17.16,1e-05
2018/2/14 7:15,17.07,1e-05
2018/2/14 7:30,17.16,1e-05
2018/2/14 7:45,17.23,1e-05
2018/2/14 8:00,17.57,1e-05
2018/2/14 8:15,17.66,1e-05
2018/2/14 8:30,17.65,1e-05
2018/2/14 8:45,17.77,1e-05
2018/2/14 9:00,17.97,1e-05
2018/2/14 9:15,17.98,1e-05
2018/2/14 9:30,17.94,1e-05
2018/2/14 9:45,18.06,1e-05
2018/2/14 10:00,17.79,1e-05
2018/2/14 10:15,18.23,1e-05
2018/2/14 10:30,18.3,1e-05
2018/2/14 10:45,18.35,1e-05
2018/2/14 11:00,17.89,1e-05
2018/2/14 11:15,17.67,1e-05
2018/2/14 11:30,17.83,1e-05
2018/2/14 11:45,18.07,1e-05
2018/2/14 12:00,17.72,1e-05
2018/2/14 12:15,17.73,1e-05
2018/2/14 12:30,17.92,1e-05
2018/2/14 12:45,18.37,1e-05
2018/2/14 13:00,18.0,1e-05
2018/2/14 13:15,18.08,1e-05
2018/2/14 13:30,18.31,1e-05
2018/2/14 13:45,18.48,1e-05
2018/2/14 14:00,18.64,1e-05
2018/2/14 14:15,18.59,1e-05
2018/2/14 14:30,18.67,1e-05
2018/2/14 14:45,18.84,1e-05
2018/2/14 15:00,18.44,1e-05
2018/2/14 15:15,18.75,1e-05
2018/2/14 15:30,19.24,1e-05
2018/2/14 15:45,19.01,1e-05
2018/2/14 16:00,18.55,1e-05
2018/2/14 16:15,18.3,1e-05
2018/2/14 16:30,18.08,1e-05
2018/2/14 16:45,18.16,1e-05
2018/2/14 17:00,18.48,1e-05
2018/2/14 17:15,18.74,1e-05
2018/2/14 17:30,18.66,1e-05
2018/2/14 17:45,18.82,1e-05
2018/2/14 18:00,18.94,1e-05
2018/2/14 18:15,18.97,1e-05
2018/2/14 18:30,19.14,1e-05
2018/2/14 18:45,19.31,1e-05
2018/2/14 19:00,19.22,1e-05
2018/2/14 19:15,19.27,1e-05
2018/2/14 19:30,19.3,1e-05
2018/2/14 19:45,19.36,1e-05
2018/2/14 20:00,19.12,1e-05
2018/2/14 20:15,19.03,1e-05
2018/2/14 20:30,19.24,1e-05
2018/2/14 20:45,19.48,1e-05
2018/2/14 21:00,19.42,1e-05
2018/2/14 21:15,19.56,1e-05
2018/2/14 21:30,19.65,1e-05
2018/2/14 21:45,19.75,1e-05
2018/2/14 22:00,19.55,1e-05
2018/2/14 22:15,19.87,1e-05
2018/2/14 22:30,20.12,1e-05
2018/2/14 22:45,20.2,1e-05
2018/2/14 23:00,20.4,1e-05
2018/2/14 23:15,21.03,1e-05
2018/2/14 23:30,21.3,1e-05
2018/2/14 23:45,21.53,1e-05
2018/2/15 0:00,21.2,1e-05
2018/2/15 0:15,21.22,1e-05
2018/2/15 0:30,21.37,1e-05
2018/2/15 0:45,21.32,1e-05
2018/2/15 1:00,21.01,1e-05
2018/2/15 1:15,20.85,1e-05
2018/2/15 1:30,20.84,0.01
2018/2/15 1:45,20.95,0.01
2018/2/15 2:00,21.05,0.01
2018/2/15 2:15,21.19,0.01
2018/2/15 2:30,20.99,0.02
2018/2/15 2:45,21.0,0.02
2018/2/15 3:00,21.23,0.02
2018/2/15 3:15,21.13,0.02
2018/2/15 3:30,21.12,0.02
2018/2/15 3:45,21.21,0.02
2018/2/15 4:00,20.98,0.02
2018/2/15 4:15,20.91,0.02
2018/2/15 4:30,21.01,0.02
2018/2/15 4:45,21.14,0.01
2018/2/15 5:00,21.43,0.01
2018/2/15 5:15,21.4,0.01
2018/2/15 5:30,20.94,0.01
2018/2/15 5:45,20.6,1e-05
2018/2/15 6:00,20.46,1e-05
2018/2/15 6:15,20.31,1e-05
2018/2/15 6:30,20.37,0.01
2018/2/15 6:45,20.46,0.01
2018/2/15 7:00,20.59,0.01
2018/2/15 7:15,20.7,0.01
2018/2/15 7:30,20.94,0.02
2018/2/15 7:45,21.1,0.02
2018/2/15 8:00,21.37,0.02
2018/2/15 8:15,21.33,0.03
2018/2/15 8:30,21.57,0.03
2018/2/15 8:45,21.93,0.03
2018/2/15 9:00,21.71,0.04
2018/2/15 9:15,21.66,0.05
2018/2/15 9:30,21.49,0.07
2018/2/15 9:45,21.46,0.08
2018/2/15 10:00,21.41,0.09
2018/2/15 10:15,21.62,0.1
2018/2/15 10:30,21.39,0.11
2018/2/15 10:45,20.91,0.12
2018/2/15 11:00,20.44,0.13
2018/2/15 11:15,20.49,0.13
2018/2/15 11:30,20.95,0.14
2018/2/15 11:45,21.14,0.14
2018/2/15 12:00,21.01,0.14
2018/2/15 12:15,21.24,0.19
2018/2/15 12:30,21.36,0.23
2018/2/15 12:45,21.76,0.28
2018/2/15 13:00,21.63,0.32
2018/2/15 13:15,21.77,0.29
2018/2/15 13:30,21.83,0.26
2018/2/15 13:45,21.51,0.23
2018/2/15 14:00,21.45,0.2
2018/2/15 14:15,21.36,0.21
2018/2/15 14:30,21.36,0.21
2018/2/15 14:45,21.32,0.22
2018/2/15 15:00,21.25,0.22
2018/2/15 15:15,21.77,0.19
2018/2/15 15:30,22.27,0.16
2018/2/15 15:45,21.95,0.13
2018/2/15 16:00,21.65,0.1
2018/2/15 16:15,21.33,0.1
2018/2/15 16:30,20.98,0.11
2018/2/15 16:45,20.78,0.11
2018/2/15 17:00,20.65,0.11
2018/2/15 17:15,20.56,0.11
2018/2/15 17:30,20.31,0.12
2018/2/15 17:45,20.28,0.12
2018/2/15 18:00,20.58,0.12
2018/2/15 18:15,20.53,0.09
2018/2/15 18:30,20.39,0.07
2018/2/15 18:45,20.3,0.04
2018/2/15 19:00,20.01,0.01
2018/2/15 19:15,19.75,0.01
2018/2/15 19:30,19.58,0.01
2018/2/15 19:45,19.1,1e-05
2018/2/15 20:00,18.4,1e-05
2018/2/15 20:15,18.02,1e-05
2018/2/15 20:30,17.96,1e-05
2018/2/15 20:45,17.62,1e-05
2018/2/15 21:00,17.11,1e-05
2018/2/15 21:15,16.9,1e-05
2018/2/15 21:30,16.85,1e-05
2018/2/15 21:45,16.68,1e-05
2018/2/15 22:00,16.59,1e-05
2018/2/15 22:15,16.68,1e-05
2018/2/15 22:30,16.65,1e-05
2018/2/15 22:45,16.48,1e-05
2018/2/15 23:00,16.43,1e-05
2018/2/15 23:15,16.43,1e-05
2018/2/15 23:30,16.1,1e-05
2018/2/15 23:45,15.79,1e-05
2018/2/16 0:00,14.96,1e-05
2018/2/16 0:15,14.93,1e-05
2018/2/16 0:30,14.79,1e-05
2018/2/16 0:45,14.5,1e-05
2018/2/16 1:00,13.96,1e-05
2018/2/16 1:15,13.41,1e-05
2018/2/16 1:30,12.7,1e-05
2018/2/16 1:45,12.1,1e-05
2018/2/16 2:00,11.56,1e-05
2018/2/16 2:15,10.96,1e-05
2018/2/16 2:30,10.6,1e-05
2018/2/16 2:45,10.66,1e-05
2018/2/16 3:00,10.51,1e-05
2018/2/16 3:15,10.3,1e-05
2018/2/16 3:30,10.41,1e-05
2018/2/16 3:45,10.53,1e-05
2018/2/16 4:00,10.4,1e-05
2018/2/16 4:15,10.21,1e-05
2018/2/16 4:30,10.24,1e-05
2018/2/16 4:45,9.95,1e-05
2018/2/16 5:00,9.91,1e-05
2018/2/16 5:15,9.93,1e-05
2018/2/16 5:30,9.42,1e-05
2018/2/16 5:45,9.23,1e-05
2018/2/16 6:00,9.3,1e-05
2018/2/16 6:15,9.17,1e-05
2018/2/16 6:30,9.51,1e-05
2018/2/16 6:45,9.47,1e-05
2018/2/16 7:00,9.66,1e-05
2018/2/16 7:15,9.62,1e-05
2018/2/16 7:30,9.55,1e-05
2018/2/16 7:45,9.41,1e-05
2018/2/16 8:00,9.28,1e-05
2018/2/16 8:15,9.25,1e-05
2018/2/16 8:30,9.57,1e-05
2018/2/16 8:45,9.82,1e-05
2018/2/16 9:00,9.52,1e-05
2018/2/16 9:15,9.27,1e-05
2018/2/16 9:30,9.25,1e-05
2018/2/16 9:45,9.41,1e-05
2018/2/16 10:00,9.47,1e-05
2018/2/16 10:15,9.52,1e-05
2018/2/16 10:30,9.09,1e-05
2018/2/16 10:45,8.85,1e-05
2018/2/16 11:00,8.54,1e-05
2018/2/16 11:15,8.59,1e-05
2018/2/16 11:30,8.7,1e-05
2018/2/16 11:45,8.82,1e-05
2018/2/16 12:00,8.88,1e-05
2018/2/16 12:15,8.99,1e-05
2018/2/16 12:30,9.13,1e-05
2018/2/16 12:45,8.85,1e-05
2018/2/16 13:00,8.43,1e-05
2018/2/16 13:15,8.38,1e-05
2018/2/16 13:30,8.37,1e-05
2018/2/16 13:45,8.31,1e-05
2018/2/16 14:00,7.93,1e-05
2018/2/16 14:15,7.82,1e-05
2018/2/16 14:30,7.68,1e-05
2018/2/16 14:45,7.67,1e-05
2018/2/16 15:00,7.98,1e-05
2018/2/16 15:15,8.6,1e-05
2018/2/16 15:30,8.92,1e-05
2018/2/16 15:45,8.66,1e-05
2018/2/16 16:00,8.43,1e-05
2018/2/16 16:15,8.11,1e-05
2018/2/16 16:30,7.99,1e-05
2018/2/16 16:45,7.96,1e-05
2018/2/16 17:00,8.02,1e-05
2018/2/16 17:15,8.43,1e-05
2018/2/16 17:30,8.66,1e-05
2018/2/16 17:45,8.63,1e-05
2018/2/16 18:00,8.59,1e-05
2018/2/16 18:15,8.45,1e-05
2018/2/16 18:30,8.36,1e-05
2018/2/16 18:45,8.33,1e-05
2018/2/16 19:00,8.19,1e-05
2018/2/16 19:15,8.21,1e-05
2018/2/16 19:30,8.15,1e-05
2018/2/16 19:45,7.73,1e-05
2018/2/16 20:00,7.74,1e-05
2018/2/16 20:15,7.69,1e-05
2018/2/16 20:30,7.6,1e-05
2018/2/16 20:45,7.26,1e-05
2018/2/16 21:00,7.35,1e-05
2018/2/16 21:15,7.32,1e-05
2018/2/16 21:30,7.15,1e-05
2018/2/16 21:45,7.13,1e-05
2018/2/16 22:00,7.15,1e-05
2018/2/16 22:15,7.11,1e-05
2018/2/16 22:30,6.84,1e-05
2018/2/16 22:45,6.82,1e-05
2018/2/16 23:00,6.99,1e-05
2018/2/16 23:15,7.24,1e-05
2018/2/16 23:30,7.55,1e-05
2018/2/16 23:45,7.9,1e-05
2018/2/17 0:00,8.65,1e-05
2018/2/17 0:15,8.61,1e-05
2018/2/17 0:30,8.16,1e-05
2018/2/17 0:45,8.09,1e-05
2018/2/17 1:00,7.9,1e-05
2018/2/17 1:15,7.65,1e-05
2018/2/17 1:30,7.41,1e-05
2018/2/17 1:45,7.39,1e-05
2018/2/17 2:00,7.59,1e-05
2018/2/17 2:15,7.31,1e-05
2018/2/17 2:30,6.95,1e-05
2018/2/17 2:45,6.97,1e-05
2018/2/17 3:00,7.18,1e-05
2018/2/17 3:15,7.04,1e-05
2018/2/17 3:30,7.28,1e-05
2018/2/17 3:45,7.43,1e-05
2018/2/17 4:00,7.85,1e-05
2018/2/17 4:15,8.1,1e-05
2018/2/17 4:30,8.44,1e-05
2018/2/17 4:45,8.44,1e-05
2018/2/17 5:00,8.81,1e-05
2018/2/17 5:15,8.84,1e-05
2018/2/17 5:30,8.52,1e-05
2018/2/17 5:45,8.64,1e-05
2018/2/17 6:00,9.2,1e-05
2018/2/17 6:15,9.26,1e-05
2018/2/17 6:30,9.44,1e-05
2018/2/17 6:45,9.58,1e-05
2018/2/17 7:00,10.21,1e-05
2018/2/17 7:15,10.47,1e-05
2018/2/17 7:30,10.71,1e-05
2018/2/17 7:45,10.99,1e-05
2018/2/17 8:00,11.67,1e-05
2018/2/17 8:15,12.19,1e-05
2018/2/17 8:30,12.91,1e-05
2018/2/17 8:45,13.12,1e-05
2018/2/17 9:00,13.47,1e-05
2018/2/17 9:15,13.92,1e-05
2018/2/17 9:30,14.47,1e-05
2018/2/17 9:45,15.2,1e-05
2018/2/17 10:00,15.98,1e-05
2018/2/17 10:15,16.6,1e-05
2018/2/17 10:30,16.88,1e-05
2018/2/17 10:45,17.0,1e-05
