date,M,Q
2018/2/15 1:30,0.01,103
2018/2/15 1:45,0.01,1
2018/2/15 2:00,0.01,1
2018/2/15 2:15,0.01,1
2018/2/15 2:30,0.02,1
2018/2/15 2:45,0.02,1
2018/2/15 3:00,0.02,1
2018/2/15 3:15,0.02,1
2018/2/15 3:30,0.02,1
2018/2/15 3:45,0.02,1
2018/2/15 4:00,0.02,1
2018/2/15 4:15,0.02,1
2018/2/15 4:30,0.02,1
2018/2/15 4:45,0.01,1
2018/2/15 5:00,0.01,1
2018/2/15 5:15,0.01,1
2018/2/15 5:30,0.01,1
2018/2/15 6:30,0.01,4
2018/2/15 6:45,0.01,1
2018/2/15 7:00,0.01,1
2018/2/15 7:15,0.01,1
2018/2/15 7:30,0.02,1
2018/2/15 7:45,0.02,1
2018/2/15 8:00,0.02,1
2018/2/15 8:15,0.03,1
2018/2/15 8:30,0.03,1
2018/2/15 8:45,0.03,1
2018/2/15 9:00,0.04,1
2018/2/15 9:15,0.05,1
2018/2/15 9:30,0.07,1
2018/2/15 9:45,0.08,1
2018/2/15 10:00,0.09,1
2018/2/15 10:15,0.1,1
2018/2/15 10:30,0.11,1
2018/2/15 10:45,0.12,1
2018/2/15 11:00,0.13,1
2018/2/15 11:15,0.13,1
2018/2/15 11:30,0.14,1
2018/2/15 11:45,0.14,1
2018/2/15 12:00,0.14,1
2018/2/15 12:15,0.19,1
2018/2/15 12:30,0.23,1
2018/2/15 12:45,0.28,1
2018/2/15 13:00,0.32,1
2018/2/15 13:15,0.29,1
2018/2/15 13:30,0.26,1
2018/2/15 13:45,0.23,1
2018/2/15 14:00,0.2,1
2018/2/15 14:15,0.21,1
2018/2/15 14:30,0.21,1
2018/2/15 14:45,0.22,1
2018/2/15 15:00,0.22,1
2018/2/15 15:15,0.19,1
2018/2/15 15:30,0.16,1
2018/2/15 15:45,0.13,1
2018/2/15 16:00,0.1,1
2018/2/15 16:15,0.1,1
2018/2/15 16:30,0.11,1
2018/2/15 16:45,0.11,1
2018/2/15 17:00,0.11,1
2018/2/15 17:15,0.11,1
2018/2/15 17:30,0.12,1
2018/2/15 17:45,0.12,1
2018/2/15 18:00,0.12,1
2018/2/15 18:15,0.09,1
2018/2/15 18:30,0.07,1
2018/2/15 18:45,0.04,1
2018/2/15 19:00,0.01,1
2018/2/15 19:15,0.01,1
2018/2/15 19:30,0.01,1
2018/2/17 13:15,0.01,167
2018/2/17 13:30,0.01,1
2018/2/17 13:45,0.02,1
2018/2/17 14:00,0.02,1
2018/2/17 14:15,0.13,1
2018/2/17 14:30,0.24,1
2018/2/17 14:45,0.35,1
2018/2/17 15:00,0.46,1
2018/2/17 15:15,0.52,1
2018/2/17 15:30,0.57,1
2018/2/17 15:45,0.63,1
2018/2/17 16:00,0.69,1
2018/2/17 16:15,0.52,1
2018/2/17 16:30,0.36,1
2018/2/17 16:45,0.19,1
2018/2/17 17:00,0.03,1
2018/2/17 17:15,0.03,1
2018/2/17 17:30,0.02,1
2018/2/17 17:45,0.02,1
2018/2/17 18:00,0.01,1
2018/2/17 18:15,0.01,1
2018/2/17 18:30,0.01,1
2018/2/17 20:30,0.01,8
2018/2/17 20:45,0.01,1
2018/2/17 21:00,0.01,1
2018/2/17 21:15,0.02,1
2018/2/17 21:30,0.03,1
2018/2/17 21:45,0.04,1
2018/2/17 22:00,0.05,1
2018/2/17 22:15,0.19,1
