date,t2m,sp,rh,wind_speed,pwv,tp,Q,M
2018/2/15 1:30,282.36,1017.1,88.13,4.32,20.84,0.01,103,0.01
2018/2/15 1:45,282.32,1017.17,88.08,4.3,20.95,0.01,1,0.01
2018/2/15 2:00,282.28,1017.23,88.02,4.28,21.05,0.01,1,0.01
2018/2/15 2:15,282.28,1017.23,87.54,4.23,21.19,0.01,1,0.01
2018/2/15 2:30,282.29,1017.22,87.06,4.19,20.99,0.02,1,0.02
2018/2/15 2:45,282.29,1017.22,86.58,4.14,21.0,0.02,1,0.02
2018/2/15 3:00,282.3,1017.21,86.1,4.09,21.23,0.02,1,0.02
2018/2/15 3:15,282.32,1017.22,85.49,4.1,21.13,0.02,1,0.02
2018/2/15 3:30,282.33,1017.23,84.88,4.11,21.12,0.02,1,0.02
2018/2/15 3:45,282.35,1017.25,84.27,4.11,21.21,0.02,1,0.02
2018/2/15 4:00,282.37,1017.26,83.66,4.12,20.98,0.02,1,0.02
2018/2/15 4:15,282.36,1016.94,83.17,4.1,20.91,0.02,1,0.02
2018/2/15 4:30,282.36,1016.62,82.67,4.07,21.01,0.02,1,0.02
2018/2/15 4:45,282.35,1016.3,82.18,4.04,21.14,0.01,1,0.01
2018/2/15 5:00,282.35,1015.98,81.68,4.01,21.43,0.01,1,0.01
2018/2/15 5:15,282.24,1015.82,81.34,3.96,21.4,0.01,1,0.01
2018/2/15 5:30,282.12,1015.66,81.0,3.9,20.94,0.01,1,0.01
2018/2/15 6:30,282.01,1015.0,80.13,3.54,20.37,0.01,4,0.01
2018/2/15 6:45,282.07,1014.83,80.04,3.42,20.46,0.01,1,0.01
2018/2/15 7:00,282.12,1014.66,79.95,3.3,20.59,0.01,1,0.01
2018/2/15 7:15,281.9,1014.66,79.87,3.25,20.7,0.01,1,0.01
2018/2/15 7:30,281.68,1014.66,79.8,3.2,20.94,0.02,1,0.02
2018/2/15 7:45,281.47,1014.66,79.72,3.14,21.1,0.02,1,0.02
2018/2/15 8:00,281.25,1014.66,79.65,3.09,21.37,0.02,1,0.02
2018/2/15 8:15,281.3,1014.78,79.64,3.09,21.33,0.03,1,0.03
2018/2/15 8:30,281.35,1014.9,79.64,3.08,21.57,0.03,1,0.03
2018/2/15 8:45,281.4,1015.02,79.64,3.07,21.93,0.03,1,0.03
2018/2/15 9:00,281.45,1015.14,79.63,3.06,21.71,0.04,1,0.04
2018/2/15 9:15,281.1,1015.24,80.07,3.1,21.66,0.05,1,0.05
2018/2/15 9:30,280.76,1015.35,80.51,3.13,21.49,0.07,1,0.07
2018/2/15 9:45,280.41,1015.46,80.95,3.17,21.46,0.08,1,0.08
2018/2/15 10:00,280.06,1015.56,81.39,3.2,21.41,0.09,1,0.09
2018/2/15 10:15,280.08,1015.69,81.34,3.23,21.62,0.1,1,0.1
2018/2/15 10:30,280.1,1015.82,81.3,3.27,21.39,0.11,1,0.11
2018/2/15 10:45,280.12,1015.95,81.26,3.3,20.91,0.12,1,0.12
2018/2/15 11:00,280.14,1016.08,81.21,3.33,20.44,0.13,1,0.13
2018/2/15 11:15,280.1,1016.27,81.33,3.39,20.49,0.13,1,0.13
2018/2/15 11:30,280.06,1016.45,81.45,3.44,20.95,0.14,1,0.14
2018/2/15 11:45,280.02,1016.63,81.57,3.49,21.14,0.14,1,0.14
2018/2/15 12:00,279.99,1016.82,81.68,3.55,21.01,0.14,1,0.14
2018/2/15 12:15,279.97,1016.96,81.9,3.48,21.24,0.19,1,0.19
2018/2/15 12:30,279.95,1017.11,82.12,3.41,21.36,0.23,1,0.23
2018/2/15 12:45,279.93,1017.25,82.34,3.35,21.76,0.28,1,0.28
2018/2/15 13:00,279.91,1017.4,82.55,3.28,21.63,0.32,1,0.32
2018/2/15 13:15,279.81,1017.35,82.95,3.23,21.77,0.29,1,0.29
2018/2/15 13:30,279.72,1017.3,83.34,3.18,21.83,0.26,1,0.26
2018/2/15 13:45,279.63,1017.25,83.73,3.12,21.51,0.23,1,0.23
2018/2/15 14:00,279.54,1017.2,84.12,3.07,21.45,0.2,1,0.2
2018/2/15 14:15,279.37,1017.25,84.45,3.0,21.36,0.21,1,0.21
2018/2/15 14:30,279.2,1017.3,84.77,2.94,21.36,0.21,1,0.21
2018/2/15 14:45,279.03,1017.36,85.09,2.87,21.32,0.22,1,0.22
2018/2/15 15:00,278.86,1017.41,85.41,2.8,21.25,0.22,1,0.22
2018/2/15 15:15,278.88,1017.28,85.82,2.7,21.77,0.19,1,0.19
2018/2/15 15:30,278.91,1017.14,86.23,2.6,22.27,0.16,1,0.16
2018/2/15 15:45,278.93,1017.01,86.64,2.5,21.95,0.13,1,0.13
2018/2/15 16:00,278.96,1016.88,87.05,2.4,21.65,0.1,1,0.1
2018/2/15 16:15,278.94,1016.82,87.35,2.28,21.33,0.1,1,0.1
2018/2/15 16:30,278.92,1016.77,87.64,2.16,20.98,0.11,1,0.11
2018/2/15 16:45,278.9,1016.71,87.93,2.03,20.78,0.11,1,0.11
2018/2/15 17:00,278.88,1016.66,88.22,1.91,20.65,0.11,1,0.11
2018/2/15 17:15,278.9,1016.5,88.54,1.82,20.56,0.11,1,0.11
2018/2/15 17:30,278.93,1016.33,88.85,1.73,20.31,0.12,1,0.12
2018/2/15 17:45,278.96,1016.17,89.16,1.64,20.28,0.12,1,0.12
2018/2/15 18:00,278.98,1016.01,89.47,1.56,20.58,0.12,1,0.12
2018/2/15 18:15,279.03,1016.03,89.77,1.69,20.53,0.09,1,0.09
2018/2/15 18:30,279.08,1016.05,90.07,1.83,20.39,0.07,1,0.07
2018/2/15 18:45,279.13,1016.07,90.37,1.97,20.3,0.04,1,0.04
2018/2/15 19:00,279.17,1016.08,90.67,2.11,20.01,0.01,1,0.01
2018/2/15 19:15,279.12,1016.11,91.13,2.31,19.75,0.01,1,0.01
2018/2/15 19:30,279.06,1016.13,91.6,2.51,19.58,0.01,1,0.01
2018/2/17 13:15,284.33,1013.22,72.13,3.4,19.63,0.01,167,0.01
