datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,18.93,289.20175,951.6697,1.5661722,95.16019,0.2078712,0.0
2018-01-01 01:00:00,20.73,288.5644,952.0701,2.2556412,96.745125,0.0,0.0
2018-01-01 02:00:00,23.14,289.83337,953.2522,3.7421665,95.713905,0.061402097,0.0
2018-01-01 03:00:00,25.16,290.47562,954.16486,4.601293,97.22261,0.30448288,0.01
2018-01-01 04:00:00,26.81,290.25458,955.29944,4.429055,92.74701,0.23313239,0.0
2018-01-01 05:00:00,27.8,290.4878,956.1959,4.545994,84.50851,0.051505864,0.0
2018-01-01 06:00:00,29.14,290.87268,956.6918,5.1632047,78.3139,0.009439886,0.0
2018-01-01 07:00:00,29.3,291.73572,956.8283,6.857264,70.93636,0.1636222,0.089999996
2018-01-01 08:00:00,28.23,291.5993,957.14124,6.3631024,71.752754,0.3099367,0.37
2018-01-01 09:00:00,26.56,291.341,957.35986,5.6907606,73.27832,0.9246543,0.0
2018-01-01 10:00:00,24.78,291.9801,957.42633,5.8271604,68.526634,0.9431094,0.0
2018-01-01 11:00:00,22.63,293.3342,957.2081,6.084703,59.765274,0.055521727,0.0
2018-01-01 12:00:00,19.92,293.1809,957.6557,5.717946,59.78685,0.0410676,0.0
2018-01-01 13:00:00,19.8,293.66852,957.6841,5.725198,57.389946,0.029042363,0.0
2018-01-01 14:00:00,18.86,293.58398,957.8645,5.3420367,56.110374,0.0012218952,0.0
2018-01-01 15:00:00,19.04,293.56647,958.02936,5.427167,54.058277,0.0,0.0
2018-01-01 16:00:00,18.88,292.6951,958.78735,4.8193507,56.284924,0.0,0.0
2018-01-01 17:00:00,18.4,291.15472,959.9843,4.7540846,61.380283,0.0,0.0
2018-01-01 18:00:00,18.33,289.91306,961.2548,4.480528,64.80666,0.0,0.0
2018-01-01 19:00:00,17.12,289.01355,962.3683,4.364001,64.19145,0.0,0.0
2018-01-01 20:00:00,16.11,288.3877,963.23865,4.4609866,65.911896,0.0,0.0
2018-01-01 21:00:00,15.28,287.8468,963.57697,4.391754,67.658844,0.0,0.0
2018-01-01 22:00:00,14.75,287.47162,963.674,4.3253717,68.88247,0.0,0.0
2018-01-01 23:00:00,14.39,287.119,963.5916,4.234233,69.98187,0.0,0.0
2018-01-02 00:00:00,14.73,286.85153,963.65015,4.205711,70.53892,3.1313837,0.0
2018-01-02 01:00:00,15.79,286.48273,963.8074,4.0668406,71.3229,0.0,0.0
2018-01-02 02:00:00,16.66,286.26517,964.03656,3.9613836,71.304276,0.0,0.0
2018-01-02 03:00:00,17.28,285.904,964.5556,3.7929108,72.37196,0.0,0.0
2018-01-02 04:00:00,17.57,286.19464,964.94226,3.659878,72.18568,0.0,0.0
2018-01-02 05:00:00,18.16,288.10016,965.55054,3.9553761,64.45399,0.0,0.0
2018-01-02 06:00:00,18.74,289.91003,965.8289,4.5783987,54.241455,0.0,0.0
2018-01-02 07:00:00,18.53,291.59418,965.9014,4.321569,51.343502,0.0,0.0
2018-01-02 08:00:00,18.57,293.13055,965.741,3.7738466,48.317898,0.0,0.0
2018-01-02 09:00:00,18.46,294.5434,965.91956,3.2775936,45.078945,0.0,0.0
2018-01-02 10:00:00,18.21,295.76956,965.47925,2.9636767,42.143612,0.0,0.0
2018-01-02 11:00:00,18.28,296.70636,965.2213,2.8369126,40.02811,0.0,0.0
2018-01-02 12:00:00,18.49,297.20868,964.9355,2.9741452,39.273495,0.0,0.0
2018-01-02 13:00:00,19.63,297.23517,964.72015,3.4284847,40.394226,0.0,0.0
2018-01-02 14:00:00,19.72,296.09314,964.6721,4.098636,47.759884,0.0,0.0
2018-01-02 15:00:00,19.29,294.33752,964.93024,4.1735954,58.335583,0.0,0.0
2018-01-02 16:00:00,18.59,292.68005,965.3512,3.5102692,66.3761,0.0,0.0
2018-01-02 17:00:00,19.24,291.33478,966.18304,2.1374178,72.68351,0.0,0.0
2018-01-02 18:00:00,19.52,290.2865,966.90643,1.1695582,78.63117,0.0,0.0
2018-01-02 19:00:00,20.01,289.537,968.34467,0.36815745,83.107056,0.0,0.0
2018-01-02 20:00:00,20.47,289.3062,968.6811,0.46139964,82.84124,0.0,0.0
2018-01-02 21:00:00,20.32,288.25708,969.0669,0.9116476,89.32345,0.0,0.0
2018-01-02 22:00:00,20.08,287.7512,969.1864,1.2235336,91.90454,0.0,0.0
2018-01-02 23:00:00,19.85,287.1646,969.2111,1.6087289,93.013435,0.0,0.0
2018-01-03 00:00:00,19.7,287.36954,968.9593,1.7211654,91.52219,0.0021487474,0.0
2018-01-03 01:00:00,19.99,287.35962,968.7576,1.7723246,90.99354,0.0,0.0
2018-01-03 02:00:00,19.64,286.59012,968.6295,1.8692183,93.14119,0.0,0.0
2018-01-03 03:00:00,19.0,286.08334,968.9302,1.922393,93.676125,0.0,0.0
2018-01-03 04:00:00,18.18,286.3584,969.0213,1.5607204,93.70388,0.0,0.0
2018-01-03 05:00:00,18.14,290.06042,969.6953,1.3037256,76.7073,0.0,0.0
2018-01-03 06:00:00,18.66,291.93488,970.1925,1.5267485,64.69966,0.0,0.0
2018-01-03 07:00:00,19.08,293.22736,970.78815,1.7611089,61.548973,0.0,0.0
2018-01-03 08:00:00,19.3,294.6997,970.47217,1.3846745,55.11909,0.0,0.0
2018-01-03 09:00:00,19.34,295.94604,970.2587,1.2715445,50.32375,0.0,0.0
2018-01-03 10:00:00,19.43,296.97534,969.9345,1.6313388,48.434155,0.0,0.0
2018-01-03 11:00:00,19.9,297.64267,969.548,2.2453995,48.008884,0.0,0.0
2018-01-03 12:00:00,20.84,297.96423,969.0954,3.210401,49.656544,0.0,0.0
2018-01-03 13:00:00,21.25,297.35156,968.8089,3.7694201,54.555637,0.0,0.0
2018-01-03 14:00:00,21.08,296.6402,968.6022,3.7282982,58.24622,0.0,0.0
2018-01-03 15:00:00,21.18,295.3238,968.5134,4.283834,65.04666,0.0,0.0
2018-01-03 16:00:00,20.85,293.87054,968.9147,4.3960056,72.26658,0.0,0.0
2018-01-03 17:00:00,20.46,292.45667,969.4046,3.7890239,78.75358,0.0012964011,0.0
2018-01-03 18:00:00,19.79,291.39746,969.6925,3.278707,84.533134,0.0,0.0
2018-01-03 19:00:00,19.1,290.8675,970.5648,3.2443957,87.53123,0.0,0.0
2018-01-03 20:00:00,18.04,290.74127,970.4796,3.3601685,87.58885,0.0,0.0
2018-01-03 21:00:00,16.88,290.63342,970.1987,3.3212292,86.98593,0.0,0.0
2018-01-03 22:00:00,15.65,290.67627,969.59467,3.2779877,85.35542,0.0,0.0
