datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,27.54,290.7994,857.6197,1.557243,85.93347,1.8435866,0.0
2018-01-01 01:00:00,27.95,290.5937,857.23016,1.7411624,86.3682,0.0,0.0
2018-01-01 02:00:00,28.07,290.61462,857.0422,1.8143593,85.83371,0.0,0.0
2018-01-01 03:00:00,28.57,290.48538,857.2449,1.8200798,86.01858,0.0,0.17
2018-01-01 04:00:00,29.22,290.26434,857.67944,1.7744861,86.61253,0.0,0.32
2018-01-01 05:00:00,29.45,291.65576,858.1359,1.4228827,79.907776,0.0,0.0
2018-01-01 06:00:00,30.0,294.42932,858.7418,1.7809856,65.254776,0.0,0.0
2018-01-01 07:00:00,29.62,295.69275,859.3683,2.033437,59.192204,0.0,0.0
2018-01-01 08:00:00,29.6,297.58954,859.0112,1.6843721,51.143806,0.002577901,0.0
2018-01-01 09:00:00,30.22,299.38983,858.26984,1.8055693,40.87825,0.0,0.0
2018-01-01 10:00:00,29.47,300.61487,857.2263,2.574897,34.78364,0.0073611736,0.0
2018-01-01 11:00:00,28.52,300.6467,856.2481,3.0454624,32.870274,0.0,0.0
2018-01-01 12:00:00,27.59,300.82544,855.0857,3.0264416,31.494852,0.0,0.0
2018-01-01 13:00:00,26.64,300.70172,854.22406,2.8542213,30.395927,0.0,0.0
2018-01-01 14:00:00,26.72,300.5039,853.5145,3.187194,29.711708,0.0,0.0
2018-01-01 15:00:00,28.32,300.03522,853.6994,3.523109,30.986128,0.0,0.0
2018-01-01 16:00:00,28.88,298.35916,854.3773,2.7870028,37.1426,0.0,0.0
2018-01-01 17:00:00,29.59,296.8051,855.9843,1.8147929,45.661922,0.0,0.0
2018-01-01 18:00:00,29.67,295.71774,857.42487,0.41500795,63.086044,0.0,0.0
2018-01-01 19:00:00,28.97,294.89832,857.33826,0.8347148,56.239468,0.0,0.0
2018-01-01 20:00:00,28.66,294.19238,857.7687,0.6539869,62.994965,0.0,0.0
2018-01-01 21:00:00,28.29,294.2765,857.62695,0.29002276,53.631985,0.0,0.0
2018-01-01 22:00:00,28.06,293.74896,857.284,0.22498095,55.999382,0.0,0.0
2018-01-01 23:00:00,28.21,292.9979,856.83167,0.58609796,59.69842,0.0,0.0
2018-01-02 00:00:00,27.67,291.0859,856.29016,1.1736537,73.78301,0.011005998,0.0
2018-01-02 01:00:00,27.73,290.33234,856.14734,1.2249364,76.42542,0.0,0.0
2018-01-02 02:00:00,27.64,289.83743,856.01654,1.285331,78.78201,0.0,0.0
2018-01-02 03:00:00,28.17,289.5993,856.46564,1.315661,80.004845,0.0,0.0
2018-01-02 04:00:00,28.67,289.40363,856.8923,1.2930597,81.48244,0.0,0.0
2018-01-02 05:00:00,29.13,290.60602,857.42053,0.81475335,81.50081,0.0,0.0
2018-01-02 06:00:00,29.81,294.2694,858.0589,0.7820268,60.585808,0.0,0.0
2018-01-02 07:00:00,30.31,296.30707,858.47144,0.67162883,53.348637,0.0023320317,0.0
2018-01-02 08:00:00,30.64,297.8786,858.301,0.33734882,45.30979,0.018723309,0.02
2018-01-02 09:00:00,30.87,298.8852,857.5695,1.2322003,39.84911,0.00436604,0.0
2018-01-02 10:00:00,31.27,299.90823,856.7092,1.5260351,35.873466,0.0,0.0
2018-01-02 11:00:00,31.68,300.46027,855.6513,1.7143509,33.613365,0.0,0.0
2018-01-02 12:00:00,31.32,300.45868,854.65546,1.772274,32.402473,0.0010684126,0.0
2018-01-02 13:00:00,30.13,300.6004,853.95013,1.7286938,31.362692,0.003106892,0.0
2018-01-02 14:00:00,29.36,300.30017,853.6521,1.5809551,32.080997,0.0015497208,0.0
2018-01-02 15:00:00,29.23,299.5719,853.94025,1.3874218,34.47039,0.0,0.0
2018-01-02 16:00:00,29.34,298.51013,854.26117,1.0743757,38.763844,0.0,0.0
2018-01-02 17:00:00,30.22,297.3211,854.9031,1.2946286,44.328655,0.0,0.0
2018-01-02 18:00:00,31.91,296.07166,855.7064,1.254111,51.238487,0.0,0.0
2018-01-02 19:00:00,32.69,295.02136,856.6647,0.84868926,64.40033,0.0,0.0
2018-01-02 20:00:00,33.99,294.18903,857.4011,0.53745323,72.03723,0.0,0.0
2018-01-02 21:00:00,34.81,294.44067,857.46686,0.19448563,60.68447,0.0,0.0
2018-01-02 22:00:00,34.88,293.58713,857.09644,0.75019306,68.66666,0.0016540289,0.14999999
2018-01-02 23:00:00,34.69,293.2447,856.3211,0.83893317,67.60337,0.0,2.1299999
2018-01-03 00:00:00,34.29,292.47696,856.0093,0.99982095,72.256676,0.032800436,7.4199996
2018-01-03 01:00:00,33.62,292.00415,855.9977,1.0479189,74.49068,0.0,4.9
2018-01-03 02:00:00,32.04,291.68387,856.3095,1.167679,75.97778,0.0,0.73
2018-01-03 03:00:00,31.96,291.31772,856.97015,1.343792,77.11697,0.0,0.33999997
2018-01-03 04:00:00,32.45,290.96777,857.44135,1.4174845,78.79283,0.0024326146,0.16
2018-01-03 05:00:00,32.02,291.9159,858.2053,1.2286434,74.167336,0.0,0.0
2018-01-03 06:00:00,31.74,293.8626,858.6625,1.5489957,64.656845,0.0,0.0
2018-01-03 07:00:00,31.36,294.86993,858.85815,1.6038492,62.61123,0.091055036,0.0
2018-01-03 08:00:00,31.59,296.7329,858.8122,1.0899838,56.355923,0.029973678,0.0
2018-01-03 09:00:00,31.33,298.56714,858.10876,1.148051,47.50924,0.04801154,0.0
2018-01-03 10:00:00,31.29,299.0984,857.16455,1.046537,44.055126,0.009201467,0.0
