datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,25.89,290.61386,912.64966,0.9917506,99.27935,1.0105222,0.0
2018-01-01 01:00:00,24.99,290.0605,911.97015,0.92906195,98.95821,0.0,0.0
2018-01-01 02:00:00,24.25,289.77478,911.7022,0.89598894,98.727234,0.0067520887,0.0
2018-01-01 03:00:00,23.97,289.07327,911.5748,1.1226059,99.18206,0.0061132014,0.0
2018-01-01 04:00:00,23.51,289.55927,911.57947,1.1950805,97.92967,0.0,0.0
2018-01-01 05:00:00,22.3,293.1206,911.27594,1.3373834,85.62008,0.0,0.0
2018-01-01 06:00:00,21.13,295.8473,910.8518,1.4477922,74.144646,0.0,0.0
2018-01-01 07:00:00,20.85,299.6947,910.4283,2.2211514,57.914978,0.0,0.0
2018-01-01 08:00:00,21.04,302.30634,909.78125,1.7945793,49.20467,0.0,0.0
2018-01-01 09:00:00,23.37,304.25897,909.72986,0.3006842,41.565742,0.0,0.0
2018-01-01 10:00:00,28.19,303.91565,910.07635,3.5237973,44.2448,0.9916127,0.0
2018-01-01 11:00:00,32.93,299.81857,911.1981,6.1358023,64.66028,0.010967255,0.0
2018-01-01 12:00:00,35.87,297.1848,912.1457,4.5313377,81.90758,0.4247129,0.0
2018-01-01 13:00:00,36.43,296.04742,912.9241,3.9377718,84.14881,1.0815263,0.0
2018-01-01 14:00:00,36.47,294.21094,913.34454,4.390749,84.615875,0.63189864,1.5799999
2018-01-01 15:00:00,35.6,292.19537,914.52936,3.8645225,81.490585,0.33193827,2.86
2018-01-01 16:00:00,33.73,290.65604,915.7473,3.362307,81.439316,0.14203787,0.0
2018-01-01 17:00:00,31.9,289.6352,916.6843,3.0194561,82.41924,0.021994114,0.0
2018-01-01 18:00:00,31.13,289.01462,917.85486,2.5017986,83.60167,0.13066223,0.0
2018-01-01 19:00:00,30.12,288.25183,919.0683,2.7009995,86.67645,0.12618303,0.0
2018-01-01 20:00:00,28.32,288.06738,920.3387,2.674365,85.82781,0.08663535,0.0
2018-01-01 21:00:00,26.13,287.73938,920.93695,2.545555,85.95125,0.07382035,0.0
2018-01-01 22:00:00,25.02,287.46967,921.604,1.8679569,86.46989,0.020951033,0.0
2018-01-01 23:00:00,24.29,287.244,921.63165,1.5923476,87.13481,0.11892617,0.0
2018-01-02 00:00:00,23.0,287.26755,921.4302,1.3732897,86.17227,4.23927,0.0
2018-01-02 01:00:00,22.5,287.4925,921.6273,1.4813639,84.16452,0.0,0.0
2018-01-02 02:00:00,22.09,287.5718,921.52655,1.5732256,81.46029,0.0057648867,0.0
2018-01-02 03:00:00,21.62,287.75555,921.8056,1.3125597,79.421265,0.002630055,0.0
2018-01-02 04:00:00,21.35,287.68683,922.38226,0.7318757,82.28949,0.0,0.0
2018-01-02 05:00:00,20.94,288.3775,923.27057,0.3783572,77.65643,0.00218302,0.0
2018-01-02 06:00:00,20.51,289.41003,923.6489,1.6824766,70.71534,0.003643334,0.0
2018-01-02 07:00:00,20.46,289.86957,923.9614,1.8539921,67.52052,0.0,0.0
2018-01-02 08:00:00,20.28,290.73212,924.101,2.1490026,64.15646,0.0,0.0
2018-01-02 09:00:00,20.16,291.48676,924.09955,1.8988702,62.35677,0.003553927,0.0
2018-01-02 10:00:00,20.37,291.97855,923.8092,1.7558788,61.16951,0.003553927,0.0
2018-01-02 11:00:00,20.71,292.26105,923.81134,1.8340735,60.709793,0.003926456,0.0
2018-01-02 12:00:00,21.1,292.54462,923.6855,2.1579697,60.93177,0.0038102262,0.0
2018-01-02 13:00:00,21.45,292.159,923.52014,2.5555172,63.75817,0.02408028,0.0
2018-01-02 14:00:00,22.0,291.21423,923.5921,2.785385,69.365,0.015541911,0.0
2018-01-02 15:00:00,22.77,290.4176,923.9002,2.8447568,73.8285,0.01552701,0.0
2018-01-02 16:00:00,23.33,289.63123,924.2312,2.637931,78.17046,0.0062286854,0.0
2018-01-02 17:00:00,23.97,289.1336,924.783,2.2605488,80.63831,0.051125884,0.0
2018-01-02 18:00:00,24.55,288.8236,925.59644,1.9919083,82.85158,0.13838707,0.0
2018-01-02 19:00:00,24.78,288.31628,926.59467,1.504112,86.45219,0.08092821,0.0
2018-01-02 20:00:00,24.94,288.14996,926.97107,1.167578,88.0589,0.06367266,0.0
2018-01-02 21:00:00,24.47,288.05396,926.7969,0.8724883,89.09088,0.0,0.0
2018-01-02 22:00:00,23.66,288.0422,926.6964,0.6379766,90.41401,0.0,0.0
2018-01-02 23:00:00,23.16,288.05524,926.4111,0.40103987,91.57126,0.0020861626,0.0
2018-01-03 00:00:00,22.47,287.7797,926.3693,0.6309861,92.40407,0.44469833,0.0
2018-01-03 01:00:00,22.29,287.36548,926.26764,0.66154426,93.97075,0.0,0.0
2018-01-03 02:00:00,22.22,287.05106,926.52954,0.7185806,95.11418,0.0,0.0
2018-01-03 03:00:00,22.31,286.68686,927.0002,0.7016268,96.308014,0.0,0.0
