datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,24.75,293.18027,938.4497,0.53814185,90.31287,0.9608567,0.0
2018-01-01 01:00:00,23.93,292.34174,938.09015,0.79874235,93.31223,0.0,0.0
2018-01-01 02:00:00,23.05,292.39392,937.9322,0.7195103,93.67478,0.0048987567,0.0
2018-01-01 03:00:00,22.09,292.14554,937.77484,0.8525513,94.290016,0.0021234155,0.0
2018-01-01 04:00:00,22.5,292.50067,937.82947,0.98223555,94.83459,0.002771616,0.0
2018-01-01 05:00:00,22.07,294.312,937.8759,1.8153716,85.48154,0.0019222498,0.0
2018-01-01 06:00:00,21.77,296.29846,937.6118,3.5973094,75.75431,0.0014528632,0.0
2018-01-01 07:00:00,21.66,299.21228,936.9783,3.0912235,61.953674,0.0,0.0
2018-01-01 08:00:00,21.22,301.6989,935.97125,3.211739,53.534378,0.0,0.0
2018-01-01 09:00:00,20.89,304.00702,935.33984,3.1901789,46.242455,0.0,0.0
2018-01-01 10:00:00,21.56,305.98206,934.5263,3.0697072,40.06288,0.0,0.0
2018-01-01 11:00:00,22.43,307.5471,933.64813,2.8083127,34.492027,0.0011622906,0.0
2018-01-01 12:00:00,23.05,308.57935,933.4857,2.6034086,29.138153,0.003322959,0.0
2018-01-01 13:00:00,25.62,309.1646,933.04407,1.9505446,25.628572,0.015035272,0.0
2018-01-01 14:00:00,28.47,306.42578,934.1245,4.9377217,30.606148,0.42441487,9.28
2018-01-01 15:00:00,31.53,297.58405,936.7994,6.332464,76.05707,0.6520152,0.16999999
2018-01-01 16:00:00,33.43,294.46658,938.58734,5.1057925,85.18493,0.029280782,0.07
2018-01-01 17:00:00,34.43,293.02777,939.8943,5.01828,83.416916,0.18544495,0.0
2018-01-01 18:00:00,34.59,291.8076,941.22485,4.996016,82.75223,0.09746256,0.0
2018-01-01 19:00:00,33.78,291.24988,942.4983,4.9233522,80.317825,0.085130334,0.0
