datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,30.88,292.3873,897.40967,1.8280525,93.72598,1.1628121,0.0
2018-01-01 01:00:00,29.96,292.3886,897.1902,1.5833006,94.061264,0.0,0.0
2018-01-01 02:00:00,29.76,292.43884,897.4422,1.9514141,93.51632,0.009370968,0.0
2018-01-01 03:00:00,30.18,292.3643,897.64484,2.04169,94.646675,0.015385449,0.0
2018-01-01 04:00:00,30.27,293.19208,897.98944,3.1315653,87.98126,0.036556274,0.0
2018-01-01 05:00:00,30.11,295.03662,898.3059,3.0256093,75.856255,0.0068470836,0.0
2018-01-01 06:00:00,29.93,296.58752,898.4818,2.6281407,68.902916,0.04001707,0.0
2018-01-01 07:00:00,31.28,297.36853,898.39825,2.1032267,65.340614,0.08024275,0.0
2018-01-01 08:00:00,32.67,298.38446,897.83124,1.7989123,62.928654,0.2291128,0.0
2018-01-01 09:00:00,32.7,298.88397,896.98987,1.6299309,62.634075,0.1552552,0.0
2018-01-01 10:00:00,32.65,299.45862,896.2063,1.5565107,62.009014,0.14517456,0.0
2018-01-01 11:00:00,33.78,299.75998,895.7481,1.8360026,61.189884,0.12426078,0.0
2018-01-01 12:00:00,34.74,296.34888,895.87573,2.8455207,73.87649,2.2515206,0.0
2018-01-01 13:00:00,35.14,295.51617,895.83405,2.7141924,79.23746,1.5282333,0.0
2018-01-01 14:00:00,36.0,296.19922,895.42456,2.2599635,74.715164,0.08697808,0.0
2018-01-01 15:00:00,36.27,295.9571,896.27936,2.7326214,73.88416,0.0037699938,0.0
2018-01-01 16:00:00,36.32,295.01932,896.9973,2.090829,78.90957,0.028967857,0.0
2018-01-01 17:00:00,36.26,294.37543,897.6743,1.9622415,83.125885,0.009343028,0.0
2018-01-01 18:00:00,37.06,293.7568,897.85486,2.1280956,87.07186,0.0,0.0
2018-01-01 19:00:00,37.52,293.2948,898.1883,2.1273096,90.49177,0.03296137,0.0
2018-01-01 20:00:00,37.99,292.94434,898.06866,1.7714037,92.560555,0.0042021275,0.0
2018-01-01 21:00:00,38.01,292.76282,897.407,1.75504,93.47571,0.005155802,0.0
2018-01-01 22:00:00,37.61,292.58295,896.81396,1.7963445,94.28567,0.0058859587,0.0
2018-01-01 23:00:00,37.11,292.5682,896.4617,1.7350066,94.129234,0.018551946,0.0
2018-01-02 00:00:00,36.57,292.37692,896.3801,1.5366665,94.300735,4.970753,0.0
2018-01-02 01:00:00,35.88,292.46906,896.48737,1.3171816,94.02834,0.0,0.26999998
2018-01-02 02:00:00,35.13,292.25735,896.8666,1.1958901,95.17257,0.09335391,0.43
2018-01-02 03:00:00,34.75,292.3239,897.34564,1.5296873,94.77919,0.041745603,0.11
2018-01-02 04:00:00,34.35,293.05792,897.6423,1.9886158,89.909935,0.019408762,0.0
2018-01-02 05:00:00,34.27,294.52008,897.7305,2.2084281,81.80529,0.003181398,0.0
2018-01-02 06:00:00,34.5,296.2362,897.71893,2.018961,73.925766,0.0121071935,0.0
2018-01-02 07:00:00,35.93,298.12347,897.3614,2.0498705,68.363884,0.06997585,0.0
2018-01-02 08:00:00,37.24,298.8786,896.961,1.9306836,62.169994,0.16414374,0.0
2018-01-02 09:00:00,37.77,298.0727,896.4395,1.9726523,65.78453,2.3477151,0.0
2018-01-02 10:00:00,38.82,298.1934,896.2692,2.002404,68.25596,1.6273856,0.0
2018-01-02 11:00:00,40.29,298.5716,895.7313,1.277491,67.9686,0.664562,1.5899999
2018-01-02 12:00:00,41.12,296.1872,895.1855,2.2686393,77.08705,4.9601674,7.12
2018-01-02 13:00:00,42.03,296.59064,895.26013,2.6691039,76.14925,0.3727749,9.01
2018-01-02 14:00:00,41.64,295.474,895.4521,2.3187609,80.11913,0.18283725,6.06
2018-01-02 15:00:00,41.02,295.234,896.27026,2.4245563,80.365974,0.01385808,1.3
2018-01-02 16:00:00,39.93,294.28943,896.55115,2.2010417,85.16091,0.0,0.0
2018-01-02 17:00:00,39.98,293.70392,897.23303,2.0097144,88.65055,0.0,0.0
