datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,9.87,261.87363,862.7497,3.4794283,67.863655,0.37281215,0.0
2018-01-01 01:00:00,9.61,261.77533,862.9902,3.0230746,70.932724,0.0,0.0
2018-01-01 02:00:00,8.94,261.26697,863.0622,2.4549568,75.7078,0.0023059547,0.0
2018-01-01 03:00:00,8.45,260.335,863.16486,2.4048967,78.37749,0.0,0.0
2018-01-01 04:00:00,8.05,259.25262,863.2695,2.5174127,79.77278,0.0,0.0
2018-01-01 05:00:00,7.48,258.16943,863.5059,2.8510084,80.35935,0.0,0.0
2018-01-01 06:00:00,6.74,257.46838,863.7318,3.2022853,80.42084,0.0,0.0
2018-01-01 07:00:00,6.31,256.7572,863.59827,3.3612344,78.68122,0.0,0.0
2018-01-01 08:00:00,5.78,256.80243,863.73126,3.388535,78.44581,0.0,0.0
2018-01-01 09:00:00,5.2,256.97577,864.1898,3.3158581,78.084206,0.0,0.0
2018-01-01 10:00:00,4.57,257.1266,864.32635,3.3605778,77.81048,0.00115484,0.0
2018-01-01 11:00:00,4.43,257.6389,864.66815,3.2815547,77.64263,0.0012665987,0.0
2018-01-01 12:00:00,4.2,258.14575,864.9357,3.3201807,77.40534,0.001385808,0.0
2018-01-01 13:00:00,4.02,258.4771,865.1941,3.360872,77.45911,0.0017434359,0.0
2018-01-01 14:00:00,3.09,258.69922,865.48456,3.5439618,77.4139,0.0,0.0
2018-01-01 15:00:00,2.22,259.09967,865.64935,3.6550233,76.891396,0.0,0.0
2018-01-01 16:00:00,1.52,259.61307,865.8173,3.834048,76.21286,0.0,0.0
2018-01-01 17:00:00,0.85,260.06683,865.9243,3.8902953,75.76083,0.0,0.0
2018-01-01 18:00:00,0.39,260.61423,866.42487,3.9198184,75.037575,0.0020653005,0.0
2018-01-01 19:00:00,0.29,261.38464,866.64825,3.8746316,75.81502,0.011235477,0.0
2018-01-01 20:00:00,0.24,261.72754,867.0387,3.9340997,76.061516,0.023052096,0.0
2018-01-01 21:00:00,-0.05,261.91125,867.35693,4.0245905,76.913605,0.03068149,0.0
2018-01-01 22:00:00,0.48,261.9931,867.484,4.162049,77.45361,0.028893352,0.0
2018-01-01 23:00:00,0.35,262.0389,867.7216,4.304463,77.579956,0.027611844,0.0
2018-01-02 00:00:00,9.45,261.97653,867.79016,4.34699,78.265854,0.1714319,0.0
2018-01-02 01:00:00,8.94,261.91437,867.8074,4.4027658,78.55829,0.0,0.0
2018-01-02 02:00:00,7.86,261.61673,867.97656,4.078346,80.09814,0.018982217,0.0
2018-01-02 03:00:00,7.04,261.3161,867.83563,4.2062855,79.90809,0.012863427,0.0
2018-01-02 04:00:00,6.52,260.87433,867.9023,4.216376,79.52597,0.017032027,0.0
2018-01-02 05:00:00,5.75,260.72125,868.02057,4.312978,79.017685,0.03246218,0.0
2018-01-02 06:00:00,5.21,260.42566,868.15894,4.281382,78.76126,0.04901737,0.0
2018-01-02 07:00:00,4.79,260.06097,868.3114,4.536374,78.5842,0.07136911,0.0
2018-01-02 08:00:00,4.15,260.07196,868.461,4.5708156,78.21659,0.07395446,0.0
2018-01-02 09:00:00,4.29,260.09027,868.3195,4.5721354,77.7976,0.060923398,0.0
2018-01-02 10:00:00,4.95,260.01175,868.3692,4.6137104,77.29242,0.046767294,0.0
2018-01-02 11:00:00,5.84,259.86066,868.49133,4.5981846,76.6114,0.036858022,0.0
