datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,2.46,266.3795,875.2697,9.886687,77.474724,2.7909577,0.0
2018-01-01 01:00:00,2.5,266.34564,875.46014,9.122206,78.99666,0.0,0.0
2018-01-01 02:00:00,2.43,266.2162,875.7022,8.310505,79.852936,0.09648688,0.0
2018-01-01 03:00:00,2.36,266.20413,875.95483,7.6940336,80.52476,0.08080527,0.0
2018-01-01 04:00:00,2.31,266.10028,876.2195,7.3955436,81.167984,0.07132441,0.0
2018-01-01 05:00:00,2.1,265.98584,876.34595,6.9110713,81.396935,0.06943941,0.0
2018-01-01 06:00:00,2.15,265.92932,876.6918,6.5171647,81.60217,0.06659329,0.0
2018-01-01 07:00:00,2.42,265.3451,877.3083,7.2664146,79.65209,0.0609383,0.0
2018-01-01 08:00:00,2.12,265.20282,877.8212,7.3321323,79.376236,0.055089593,0.0
2018-01-01 09:00:00,1.88,265.1125,878.09985,7.4439635,79.05494,0.051930547,0.0
2018-01-01 10:00:00,1.98,265.08167,878.19635,7.5616093,78.545395,0.050015748,0.0
2018-01-01 11:00:00,1.9,265.07053,878.6281,7.6745677,78.17695,0.050529838,0.0
2018-01-01 12:00:00,2.01,264.9973,878.8857,7.672347,78.34401,0.04428625,0.0
2018-01-01 13:00:00,1.98,264.9478,879.1741,7.600879,78.37943,0.03799796,0.0
2018-01-01 14:00:00,1.92,264.9707,879.42456,7.475756,78.56014,0.029027462,0.0
2018-01-01 15:00:00,2.02,265.06256,879.8094,7.2945895,78.617134,0.01963973,0.0
2018-01-01 16:00:00,1.88,265.29276,879.8873,7.154562,78.44391,0.014454126,0.0
2018-01-01 17:00:00,1.82,265.57855,880.1743,6.8763213,77.94281,0.0122487545,0.0
2018-01-01 18:00:00,2.09,265.9443,880.71484,6.821956,77.08782,0.01304748,0.0
2018-01-01 19:00:00,1.69,266.41003,880.70825,6.2779107,77.47325,0.017181039,0.0
2018-01-01 20:00:00,1.64,266.74902,881.1387,6.08599,76.838036,0.020503998,0.0
2018-01-01 21:00:00,2.1,267.12415,881.36694,6.207004,76.41133,0.024929643,0.0
2018-01-01 22:00:00,2.51,267.43256,881.694,6.1379294,76.15265,0.023499131,0.11
2018-01-01 23:00:00,2.77,267.5897,881.9617,5.9661174,75.754616,0.014707446,0.0
2018-01-02 00:00:00,3.29,267.68747,882.16016,5.955943,75.21089,1.050958,0.0
2018-01-02 01:00:00,3.1,267.72296,882.29736,5.861041,74.90629,0.0,0.0
2018-01-02 02:00:00,2.87,267.66556,882.4866,6.396606,75.78159,0.043740496,0.0
2018-01-02 03:00:00,2.61,267.52704,882.7656,6.5403056,76.78764,0.050317496,0.0
2018-01-02 04:00:00,2.41,267.44464,883.06226,6.484617,76.47728,0.042788684,0.0
2018-01-02 05:00:00,2.05,267.26813,883.31055,6.321663,74.472305,0.028431416,0.0
2018-01-02 06:00:00,1.97,266.96667,883.7589,6.288155,71.52532,0.018179417,0.0
2018-01-02 07:00:00,2.0,266.35004,883.9114,5.9971538,69.782074,0.008881092,0.0
2018-01-02 08:00:00,1.76,265.8864,884.291,6.0629554,66.83828,0.009082258,0.0
2018-01-02 09:00:00,1.86,265.2934,884.33954,5.996913,64.8427,0.0077560544,0.0
2018-01-02 10:00:00,2.22,264.89456,884.7692,5.899228,63.738144,0.008948147,0.0
2018-01-02 11:00:00,2.19,264.46222,885.06134,5.7534294,63.109825,0.008612871,0.0
2018-01-02 12:00:00,2.09,264.3864,885.22546,5.6442842,62.862766,0.008846808,0.0
2018-01-02 13:00:00,2.01,264.5086,885.35016,5.5994945,62.659653,0.007197261,0.0
2018-01-02 14:00:00,2.1,264.70447,885.4621,5.5983644,62.60126,0.0067055225,0.0
2018-01-02 15:00:00,2.24,264.9879,885.5902,5.460712,62.841244,0.0064969063,0.0
2018-01-02 16:00:00,2.46,265.43005,885.86115,5.282971,63.514065,0.0074207783,0.0
2018-01-02 17:00:00,2.46,265.9754,885.98303,5.0284085,64.3922,0.009149313,0.0
2018-01-02 18:00:00,2.33,266.50916,886.4364,4.8422995,65.327835,0.010102987,0.0
2018-01-02 19:00:00,2.3,267.18152,885.9547,4.8484635,64.36889,0.0073462725,0.0
2018-01-02 20:00:00,2.13,267.4156,886.47107,4.604248,64.82731,0.0053197145,0.0
2018-01-02 21:00:00,2.2,267.7434,886.59686,4.5170784,64.806244,0.005379319,0.0
2018-01-02 22:00:00,2.25,267.91916,886.8964,4.309583,64.7754,0.0036805868,0.0
2018-01-02 23:00:00,2.27,268.0318,887.1711,4.007012,64.64994,0.0028312206,0.0
2018-01-03 00:00:00,2.55,267.9008,887.4893,3.6116884,65.12961,0.33814013,0.0
2018-01-03 01:00:00,2.55,267.7151,887.6877,2.9613833,66.820435,0.0,0.0
2018-01-03 02:00:00,2.71,267.39285,887.8895,2.3655639,69.68759,0.002009794,0.0
2018-01-03 03:00:00,2.8,266.9017,888.15015,2.0835125,72.631996,0.011142343,0.0
2018-01-03 04:00:00,2.72,266.12793,888.2913,1.9370613,75.14994,0.015500933,0.0
2018-01-03 05:00:00,2.66,265.66003,888.4253,1.7024114,75.17324,0.016383827,0.0
2018-01-03 06:00:00,2.53,265.1595,888.5425,1.5793456,74.74067,0.01757592,0.0
2018-01-03 07:00:00,2.6,264.66486,888.4581,1.4434211,73.093056,0.020706655,0.0
2018-01-03 08:00:00,2.44,264.85596,888.6222,1.3284001,70.74326,0.030554831,0.0
2018-01-03 09:00:00,2.34,264.2019,888.52875,1.5201081,74.289665,0.031866126,0.0
2018-01-03 10:00:00,2.4,263.84644,888.5545,1.5690708,76.84997,0.033065677,0.0
2018-01-03 11:00:00,2.68,263.5587,888.448,1.5667629,78.43103,0.026866794,0.0
2018-01-03 12:00:00,2.95,263.45837,888.3654,1.5668533,80.191284,0.02028048,0.0
2018-01-03 13:00:00,2.94,263.13477,888.02893,1.6266959,80.87073,0.014819205,0.0
2018-01-03 14:00:00,2.95,262.92535,887.8222,1.672075,81.81187,0.01616776,0.0
2018-01-03 15:00:00,2.86,262.9195,887.4434,1.7545468,83.162224,0.015065074,0.0
2018-01-03 16:00:00,2.85,262.91742,887.1747,1.865481,84.53113,0.010162592,0.0
2018-01-03 17:00:00,2.93,263.30627,886.75464,1.9428804,85.91607,0.0054240227,0.0
2018-01-03 18:00:00,2.71,263.8584,886.3025,1.9394153,86.98449,0.0019222498,0.0
2018-01-03 19:00:00,2.65,264.6546,885.4448,2.0700703,87.72759,0.0011324883,0.0
2018-01-03 20:00:00,2.62,265.01666,885.3196,1.9170178,85.95293,0.0,0.0
2018-01-03 21:00:00,2.41,265.16858,884.6188,1.7748828,86.194214,0.0,0.0
2018-01-03 22:00:00,2.5,265.2837,884.1447,1.8633091,86.35258,0.0,0.0
2018-01-03 23:00:00,2.68,265.43356,883.5985,2.0274637,86.1025,0.0,0.0
2018-01-04 00:00:00,2.99,265.45407,883.20795,2.1274133,86.42061,0.2934575,0.0
2018-01-04 01:00:00,2.83,265.33383,882.4316,2.2452087,87.29252,0.0,0.0
2018-01-04 02:00:00,2.62,265.04126,882.0764,2.3659198,88.271286,0.0,0.0
2018-01-04 03:00:00,2.45,264.62585,881.47345,2.421198,89.0339,0.0,0.0
2018-01-04 04:00:00,2.28,264.0329,881.1272,2.4003868,89.47085,0.0,0.0
2018-01-04 05:00:00,2.11,263.3241,880.8641,2.365165,89.65565,0.0,0.0
2018-01-04 06:00:00,1.88,262.40533,880.56866,2.3176515,89.31729,0.0,0.0
2018-01-04 07:00:00,1.65,261.39484,880.31116,3.4987543,77.83222,0.0,0.0
2018-01-04 08:00:00,1.41,260.84802,880.30585,3.9090676,73.52489,0.0,0.0
2018-01-04 09:00:00,1.39,260.65173,880.41174,4.260684,69.14698,0.0,0.0
2018-01-04 10:00:00,1.39,260.69455,880.3635,4.4065785,65.87038,0.0,0.0
2018-01-04 11:00:00,1.44,260.71796,880.77594,4.354639,64.60461,0.0,0.0
2018-01-04 12:00:00,1.71,260.64737,880.8568,4.1596575,65.2277,0.0,0.0
2018-01-04 13:00:00,1.84,260.64157,881.03186,3.9384148,66.395584,0.0,0.0
2018-01-04 14:00:00,2.02,260.8227,881.3733,3.7615275,67.61509,0.0,0.0
2018-01-04 15:00:00,2.12,261.24493,881.78436,3.6278152,68.7875,0.0,0.0
2018-01-04 16:00:00,2.4,261.911,882.2343,3.5242145,69.59243,0.0,0.0
2018-01-04 17:00:00,2.51,262.71744,882.65594,3.3973393,69.9131,0.0,0.0
2018-01-04 18:00:00,2.62,263.53696,883.108,3.2005517,70.26549,0.0,0.0
2018-01-04 19:00:00,2.83,264.2317,883.35626,3.1569688,71.67726,0.0,0.0
2018-01-04 20:00:00,3.02,264.88644,883.9493,3.1229987,70.83348,0.0,0.0
2018-01-04 21:00:00,2.95,265.5136,884.6406,2.9447541,71.01847,0.0,0.0
2018-01-04 22:00:00,2.75,266.01813,885.3639,2.9186451,70.761314,0.0,0.0
2018-01-04 23:00:00,2.41,266.46082,886.2791,3.196452,69.34527,0.0,0.0
2018-01-05 00:00:00,2.26,266.72552,887.0461,3.9846177,68.23454,0.0026911497,0.0
2018-01-05 01:00:00,2.14,266.4743,887.4428,4.120818,71.39303,0.0,0.0
2018-01-05 02:00:00,2.03,265.81155,887.96716,3.1323516,76.803734,0.0,0.0
2018-01-05 03:00:00,1.97,264.9765,888.2199,2.6136556,79.65525,0.0011771917,0.0
2018-01-05 04:00:00,1.99,264.12933,888.7902,2.6833575,80.159386,0.0,0.0
2018-01-05 05:00:00,1.87,263.35693,889.2107,3.0809577,79.579895,0.0,0.0
2018-01-05 06:00:00,1.8,262.70175,889.6636,3.4566658,78.534515,0.0,0.0
2018-01-05 07:00:00,1.46,262.0463,889.8755,3.873916,76.27716,0.0,0.0
2018-01-05 08:00:00,1.12,261.46326,890.5136,3.9296138,75.95484,0.0,0.0
2018-01-05 09:00:00,0.99,260.77368,890.6795,3.8758907,76.1309,0.0,0.0
2018-01-05 10:00:00,0.87,260.13232,891.0544,3.7927587,76.44448,0.0,0.0
2018-01-05 11:00:00,0.78,259.57556,891.1955,3.6814816,76.60705,0.0,0.0
2018-01-05 12:00:00,0.83,259.2773,891.373,3.6194525,76.45091,0.0,0.0
2018-01-05 13:00:00,0.91,259.31354,891.40576,3.5700898,76.162636,0.0,0.0
2018-01-05 14:00:00,1.12,259.47156,891.3711,3.5252419,76.17039,0.0,0.0
2018-01-05 15:00:00,1.15,259.69305,891.3589,3.4466698,76.62783,0.0,0.0
2018-01-05 16:00:00,0.98,260.14685,891.14624,3.2704446,77.37548,0.0,0.0
2018-01-05 17:00:00,0.87,260.8004,890.9747,3.048886,78.06643,0.0,0.0
2018-01-05 18:00:00,0.85,261.5121,890.69507,2.8224277,78.896324,0.0,0.0
2018-01-05 19:00:00,0.93,262.2755,890.20544,2.6224654,79.00931,0.0,0.0
2018-01-05 20:00:00,1.03,262.89713,890.1396,2.3429546,79.0561,0.0,0.0
2018-01-05 21:00:00,1.19,263.4402,889.90375,2.0849254,78.48634,0.0,0.0
2018-01-05 22:00:00,1.32,263.78555,889.8028,1.9442452,77.825516,0.0,0.0
2018-01-05 23:00:00,1.07,263.93005,889.4511,1.9728519,77.202675,0.0,0.0
2018-01-06 00:00:00,0.87,263.90344,889.04517,2.1848311,76.46568,0.006135116,0.0
2018-01-06 01:00:00,1.0,263.6954,888.5145,2.5323408,75.56273,0.0,0.0
2018-01-06 02:00:00,0.84,263.3634,887.8326,2.9172604,74.27124,0.0,0.0
2018-01-06 03:00:00,0.76,262.9679,887.3022,3.3357346,71.97717,0.0,0.0
2018-01-06 04:00:00,0.8,262.55212,886.85956,3.7335033,69.156105,0.0,0.0
2018-01-06 05:00:00,0.74,262.13226,886.3845,4.1195164,66.568115,0.0,0.0
2018-01-06 06:00:00,0.94,261.79614,885.8525,4.547166,64.187256,0.0,0.0
2018-01-06 07:00:00,1.02,262.034,884.52075,5.0888925,62.64128,0.0,0.0
2018-01-06 08:00:00,0.93,262.11847,884.145,5.51691,62.814037,0.0,0.0
