datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,1.52,257.71933,821.8897,5.1645827,68.80878,0.0,0.0
2018-01-01 01:00:00,1.43,257.52924,822.0002,5.31945,68.75392,0.0,0.0
2018-01-01 02:00:00,1.36,257.30798,821.96216,5.50927,68.671555,0.0,0.0
2018-01-01 03:00:00,1.31,257.12796,821.98486,5.7044964,68.609886,0.0,0.0
2018-01-01 04:00:00,1.24,256.9909,821.7695,5.9732647,68.60929,0.0,0.0
2018-01-01 05:00:00,1.33,256.9331,821.7659,6.2338223,68.61392,0.0,0.0
2018-01-01 06:00:00,1.25,256.9469,822.0518,6.5549216,68.663246,0.0,0.0
2018-01-01 07:00:00,1.55,257.015,822.08826,7.0209227,69.19943,0.0,0.0
2018-01-01 08:00:00,1.26,257.0661,822.20123,7.1273694,69.41884,0.0,0.0
2018-01-01 09:00:00,1.27,257.11053,822.3798,7.165307,69.62087,0.0,0.0
2018-01-01 10:00:00,1.38,257.16565,822.5863,7.174454,69.84747,0.0,0.0
2018-01-01 11:00:00,1.68,257.23264,822.6881,7.1844687,70.089676,0.0,0.0
2018-01-01 12:00:00,1.62,257.33325,823.0457,7.066238,70.31051,0.0,0.0
2018-01-01 13:00:00,1.62,257.42828,823.46405,6.9327264,70.70864,0.0,0.0
2018-01-01 14:00:00,1.66,257.50977,823.8645,6.731546,71.22319,0.0,0.0
2018-01-01 15:00:00,1.5,257.56647,824.0694,6.5703874,71.783585,0.0,0.0
2018-01-01 16:00:00,1.48,257.5994,824.1873,6.381446,72.34678,0.0,0.0
2018-01-01 17:00:00,1.51,257.62347,824.5243,6.2530117,72.77939,0.0,0.0
2018-01-01 18:00:00,1.61,257.6201,824.9949,6.1020694,73.14667,0.0,0.0
2018-01-01 19:00:00,1.88,257.75378,825.08826,5.822241,73.93255,0.0,0.0
2018-01-01 20:00:00,1.88,257.65723,825.5387,5.6620708,74.24705,0.0,0.0
2018-01-01 21:00:00,1.98,257.49915,826.13696,5.457613,74.53165,0.0,0.0
2018-01-01 22:00:00,1.89,257.26263,826.514,5.1818376,74.82738,0.0,0.0
2018-01-01 23:00:00,1.97,256.97055,826.87164,4.8854012,75.142815,0.0,0.0
