datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,3.87,264.00644,889.6997,2.659518,76.47602,0.11637807,0.0
2018-01-01 01:00:00,3.72,263.4394,889.78015,2.909469,76.24088,0.0,0.0
2018-01-01 02:00:00,3.75,262.8744,889.7922,3.2081616,76.3981,0.05749613,0.0
2018-01-01 03:00:00,3.79,262.41702,889.64484,3.4086637,77.00781,0.0721775,0.0
2018-01-01 04:00:00,3.78,262.4499,889.62946,3.3780732,78.24208,0.101827085,0.0
2018-01-01 05:00:00,3.83,263.25537,889.77594,3.0312202,80.186104,0.12777746,0.0
2018-01-01 06:00:00,4.04,263.40198,889.8918,2.9369783,80.577415,0.12796372,0.0
2018-01-01 07:00:00,4.25,262.95056,889.6783,2.6846347,80.614204,0.13104081,0.0
2018-01-01 08:00:00,4.27,263.36884,889.8812,2.1967776,82.5313,0.12613088,0.0
2018-01-01 09:00:00,4.26,263.44843,890.04987,1.9235892,83.21207,0.11831522,0.0
2018-01-01 10:00:00,4.38,264.11096,890.1063,1.4691604,83.21066,0.115819275,0.0
2018-01-01 11:00:00,4.36,264.74435,890.1781,1.0294935,83.29708,0.12293458,0.0
2018-01-01 12:00:00,4.1,265.2766,890.3157,0.45716164,80.723625,0.09854138,0.0
2018-01-01 13:00:00,4.17,265.58453,890.4941,0.483634,80.65191,0.05491078,0.0
2018-01-01 14:00:00,3.93,265.95508,890.60455,1.1006888,78.223564,0.025644898,0.0
2018-01-01 15:00:00,3.85,266.20123,890.5494,1.4753109,75.581535,0.015839934,0.0
2018-01-01 16:00:00,3.76,266.48807,890.6973,1.798845,72.463806,0.011101365,0.0
2018-01-01 17:00:00,4.03,266.69965,890.7443,1.9407432,71.5195,0.0075101852,0.0
2018-01-01 18:00:00,4.16,266.77048,890.91486,1.8782252,71.389046,0.004628324,0.0
2018-01-01 19:00:00,4.28,266.6327,891.28827,1.6120176,69.449684,0.0042170286,0.0
2018-01-01 20:00:00,4.38,266.5791,891.5287,1.4072707,70.962105,0.0022798777,0.0
2018-01-01 21:00:00,4.53,266.3468,891.56696,1.1878403,77.81293,0.0026375055,0.0
2018-01-01 22:00:00,4.55,265.8056,891.784,0.971548,83.45682,0.004976988,0.0
2018-01-01 23:00:00,4.67,265.82407,891.80164,0.815656,83.169525,0.008627772,0.0
2018-01-02 00:00:00,4.57,265.63083,891.78015,0.5277861,85.4039,1.4071405,0.0
2018-01-02 01:00:00,4.51,265.20734,891.8674,1.1580924,86.11068,0.0,0.0
2018-01-02 02:00:00,4.44,263.17532,891.9366,2.112436,86.741554,0.018684193,0.0
