datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,2.51,258.11777,784.8897,2.503733,81.58375,0.29024482,0.0
2018-01-01 01:00:00,2.59,257.11322,784.9402,2.9781723,82.52884,0.0,0.0
2018-01-01 02:00:00,2.51,256.74548,784.9422,3.2088149,82.78563,0.003837049,0.0
2018-01-01 03:00:00,2.5,255.81741,784.76483,3.5547118,81.99034,0.0035911798,0.0
2018-01-01 04:00:00,2.41,255.08856,784.67944,3.8815513,80.52275,0.0028833747,0.0
2018-01-01 05:00:00,2.31,254.85303,784.7559,4.104228,78.70996,0.0034570694,0.0
2018-01-01 06:00:00,2.16,254.9254,784.8418,4.211491,77.70424,0.007085502,0.0
2018-01-01 07:00:00,2.1,254.73181,784.5683,3.5462573,77.28771,0.010512769,0.0
2018-01-01 08:00:00,2.32,254.86687,784.70123,3.4789832,77.29401,0.014603138,0.0
2018-01-01 09:00:00,2.48,255.52069,784.8098,3.2077003,77.64073,0.021584332,0.0
2018-01-01 10:00:00,2.63,256.0094,784.8463,2.9416127,77.80848,0.024303794,0.0
2018-01-01 11:00:00,2.62,257.03732,784.7981,2.8439984,77.20968,0.021740794,0.0
2018-01-01 12:00:00,2.5,257.92505,784.8857,2.7692654,72.65842,0.024661422,0.0
2018-01-01 13:00:00,2.59,258.45563,785.04407,2.828538,69.51118,0.031664968,0.0
2018-01-01 14:00:00,2.56,258.84766,785.2045,2.6233969,67.82053,0.043734908,0.0
2018-01-01 15:00:00,2.58,259.18756,785.2394,2.5573916,66.633064,0.049754977,0.0
2018-01-01 16:00:00,2.6,259.51346,785.3173,2.389115,64.57808,0.042378902,0.0
2018-01-01 17:00:00,2.65,259.79535,785.4043,1.987511,62.225456,0.03749132,0.0
2018-01-01 18:00:00,2.74,259.8779,785.53485,1.5921776,62.23664,0.039020173,0.0
2018-01-01 19:00:00,2.67,259.83972,785.7683,1.4037086,61.84459,0.032559037,0.0
2018-01-01 20:00:00,2.93,259.7666,786.0787,1.3774264,62.62832,0.026196241,0.0
2018-01-01 21:00:00,2.96,259.56946,786.207,1.1070123,65.07507,0.028640032,0.0
2018-01-01 22:00:00,2.89,259.32513,786.524,0.83667177,68.63966,0.02323094,0.0
2018-01-01 23:00:00,3.13,258.494,786.56165,0.8788584,77.24045,0.01873076,0.0
2018-01-02 00:00:00,2.99,258.03903,786.6202,1.0925654,80.04258,0.5319655,0.0
2018-01-02 01:00:00,3.02,257.3792,786.7573,1.3864943,81.74373,0.0,0.0
2018-01-02 02:00:00,3.27,256.7925,786.95654,1.711381,82.68082,0.00885129,0.0
2018-01-02 03:00:00,3.04,256.04657,786.90564,1.9481528,83.10327,0.008303672,0.0
2018-01-02 04:00:00,2.94,255.37822,786.9523,2.0657494,83.43044,0.013947487,0.0
2018-01-02 05:00:00,2.85,255.05327,786.92053,2.1240945,83.462326,0.025935471,0.0
2018-01-02 06:00:00,2.74,254.91783,787.1089,2.0299618,83.86848,0.03067404,0.0
2018-01-02 07:00:00,2.64,255.55318,787.1114,0.9327245,84.45186,0.0205338,0.0
2018-01-02 08:00:00,2.7,255.81805,787.221,0.78559303,84.289795,0.020369887,0.0
2018-01-02 09:00:00,2.68,255.92033,787.41956,0.57132554,84.41571,0.018507242,0.0
2018-01-02 10:00:00,2.75,256.4258,787.4292,0.5609647,83.64042,0.018976629,0.0
2018-01-02 11:00:00,2.67,256.62823,787.56134,0.9789922,83.99345,0.019289553,0.0
2018-01-02 12:00:00,2.34,256.73212,787.76544,1.2150954,84.96096,0.017616156,0.0
2018-01-02 13:00:00,2.32,256.95782,787.79016,1.5695671,78.54673,0.0130832195,0.0
2018-01-02 14:00:00,2.21,257.63416,787.8221,1.9017386,74.68628,0.017493948,0.0
2018-01-02 15:00:00,2.07,257.943,787.9102,2.2740934,73.721664,0.02707541,0.0
2018-01-02 16:00:00,2.08,258.12927,787.7812,2.6771362,74.97015,0.03105402,0.0
2018-01-02 17:00:00,2.1,258.2469,787.973,3.2409215,78.595184,0.034675002,0.0
2018-01-02 18:00:00,2.37,258.30212,788.2564,3.7376523,80.788795,0.050753355,0.0
2018-01-02 19:00:00,2.47,258.1991,788.1147,3.1949499,84.039536,0.033065677,0.0
2018-01-02 20:00:00,2.56,258.03473,788.3911,3.2696202,82.401344,0.046223402,0.0
2018-01-02 21:00:00,2.49,257.9309,788.5669,3.23051,84.82044,0.04696846,0.0
2018-01-02 22:00:00,2.42,257.7551,788.7064,3.067411,81.431496,0.049248338,0.0
2018-01-02 23:00:00,2.57,257.2857,788.6111,2.664584,86.064415,0.049233437,0.0
2018-01-03 00:00:00,2.69,257.07266,788.5593,2.2687256,85.54855,0.64750314,0.0
2018-01-03 01:00:00,2.64,256.79712,788.6777,1.8740928,85.54048,0.0,0.0
2018-01-03 02:00:00,2.63,256.1995,788.66956,1.3131548,84.952126,0.015318394,0.0
2018-01-03 03:00:00,2.65,255.57553,788.3201,0.533514,84.2405,0.011015683,0.0
2018-01-03 04:00:00,2.5,253.81346,788.31134,0.6814908,82.53472,0.011593103,0.0
2018-01-03 05:00:00,2.44,253.20691,788.0853,1.1658537,82.11116,0.014666468,0.0
2018-01-03 06:00:00,2.2,253.2259,788.1025,1.1891458,81.50923,0.01963973,0.0
2018-01-03 07:00:00,2.19,253.06721,787.58813,1.2403756,81.78206,0.019797685,0.0
2018-01-03 08:00:00,2.2,253.63914,787.5422,1.2017461,82.155136,0.01691281,0.0
2018-01-03 09:00:00,2.27,254.39525,787.57874,0.9776341,82.339485,0.01373142,0.0
2018-01-03 10:00:00,2.34,254.9363,787.33453,0.7660426,82.61854,0.009052455,0.0
2018-01-03 11:00:00,2.31,255.49228,787.048,0.23350091,82.20336,0.0076144934,0.0
2018-01-03 12:00:00,2.17,255.72401,786.8554,0.34624958,81.09598,0.002413988,0.0
2018-01-03 13:00:00,2.13,255.92383,786.5489,0.28018945,76.46866,0.001296401,0.0
2018-01-03 14:00:00,2.04,256.23395,786.1022,0.3379562,72.10809,0.0,0.0
2018-01-03 15:00:00,2.01,256.6734,786.0634,0.68140215,68.16362,0.0,0.0
2018-01-03 16:00:00,1.96,256.9897,785.6247,0.9340204,66.43632,0.0,0.0
2018-01-03 17:00:00,2.05,257.35706,785.5246,1.1637392,64.1687,0.0,0.0
2018-01-03 18:00:00,2.04,257.70605,785.4725,1.5865755,62.082977,0.0,0.0
2018-01-03 19:00:00,2.05,257.82843,785.15485,1.758562,58.202385,0.0,0.0
2018-01-03 20:00:00,2.05,257.8448,785.0096,2.1382596,62.66255,0.0,0.0
2018-01-03 21:00:00,1.99,257.57288,784.89874,2.38293,67.93462,0.0,0.0
2018-01-03 22:00:00,1.94,257.104,784.78467,2.703914,71.41727,0.0,0.0
2018-01-03 23:00:00,1.87,256.3359,784.50854,2.997817,74.27118,0.0,0.0
2018-01-04 00:00:00,2.03,255.61423,784.32794,3.4496753,76.13619,0.17168522,0.0
2018-01-04 01:00:00,1.96,255.06625,784.2416,3.9345214,76.37154,0.0,0.0
2018-01-04 02:00:00,1.92,254.53345,783.9864,4.4165597,76.60434,0.0,0.0
2018-01-04 03:00:00,1.7,253.9735,783.8734,4.8626695,76.26672,0.0,0.0
2018-01-04 04:00:00,1.7,253.50166,783.71716,5.2646585,77.65036,0.0,0.0
2018-01-04 05:00:00,1.66,253.19324,783.64404,5.534183,77.7785,0.0,0.0
2018-01-04 06:00:00,1.51,253.23737,783.7087,5.637285,77.91753,0.0,0.0
2018-01-04 07:00:00,1.4,253.13509,783.3312,5.7405863,78.85079,0.0,0.0
2018-01-04 08:00:00,1.54,253.64685,783.26587,5.793682,77.48009,0.0010430813,0.0
2018-01-04 09:00:00,1.7,254.25134,783.5117,5.819614,76.95983,0.0,0.0
2018-01-04 10:00:00,1.81,254.87619,783.4535,5.860033,74.938705,0.0,0.0
2018-01-04 11:00:00,1.66,255.47772,783.40594,6.0028653,73.32269,0.0,0.0
2018-01-04 12:00:00,1.68,256.17862,783.4668,5.964861,70.87538,0.0,0.0
2018-01-04 13:00:00,1.66,256.70407,783.60187,5.7638574,70.76572,0.0,0.0
2018-01-04 14:00:00,1.65,257.3344,783.66327,5.793493,69.46913,0.0,0.0
2018-01-04 15:00:00,1.49,257.82892,783.7644,5.694095,68.853615,0.0,0.0
2018-01-04 16:00:00,1.21,258.28406,783.7743,5.7251143,68.17129,0.0,0.0
2018-01-04 17:00:00,1.37,258.61588,783.92596,5.7419505,68.162315,0.0,0.0
2018-01-04 18:00:00,1.52,258.81625,784.378,5.8859844,68.0855,0.0,0.0
2018-01-04 19:00:00,1.71,258.7981,784.54626,6.014206,68.64592,0.0,0.0
2018-01-04 20:00:00,1.76,258.5837,784.9493,6.539813,69.17565,0.0,0.0
2018-01-04 21:00:00,1.73,258.2187,785.2506,6.6450047,69.575516,0.0,0.0
2018-01-04 22:00:00,1.72,257.774,785.7439,6.752638,69.26523,0.0,0.0
2018-01-04 23:00:00,1.5,257.22253,785.61914,6.781075,68.859726,0.0,0.0
2018-01-05 00:00:00,1.4,256.52435,785.7361,6.7573977,69.385376,0.0046133995,0.0
2018-01-05 01:00:00,1.51,255.84344,785.9628,6.8388743,69.93547,0.0,0.0
2018-01-05 02:00:00,1.55,255.14944,785.96716,6.877291,70.628174,0.0,0.0
2018-01-05 03:00:00,1.32,254.6562,786.00995,6.976848,71.613205,0.0,0.0
2018-01-05 04:00:00,1.68,254.36565,785.93024,6.998219,72.49757,0.0,0.0
2018-01-05 05:00:00,2.14,254.31787,786.2407,7.0399585,73.484055,0.0,0.0
2018-01-05 06:00:00,2.3,254.55331,786.4936,7.005874,73.84502,0.0,0.0
2018-01-05 07:00:00,2.05,254.81192,786.58545,7.0575995,73.47278,0.0010877848,0.0
2018-01-05 08:00:00,1.99,255.22108,786.8836,6.9432096,72.3481,0.0,0.0
2018-01-05 09:00:00,1.96,255.66432,787.3195,6.775955,72.0055,0.0,0.0
