datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,4.8,267.36386,1011.9397,1.8957427,37.86217,0.0,0.0
2018-01-01 01:00:00,5.16,269.44135,1013.04016,1.4963526,34.939167,0.0,0.0
2018-01-01 02:00:00,5.45,273.06384,1013.2522,1.9610887,23.62494,0.0,0.0
2018-01-01 03:00:00,5.28,274.36234,1013.1948,2.1641335,21.11671,0.0,0.0
2018-01-01 04:00:00,4.93,275.25848,1012.17944,2.1004794,20.10006,0.0,0.0
2018-01-01 05:00:00,4.92,275.8335,1011.14594,2.0291338,19.807507,0.0,0.0
2018-01-01 06:00:00,4.49,276.0133,1010.56177,2.0092936,20.006746,0.0,0.0
2018-01-01 07:00:00,4.6,275.62244,1009.9883,1.938557,21.223402,0.0,0.0
2018-01-01 08:00:00,4.65,274.73016,1010.3812,1.4118828,24.662504,0.0,0.0
2018-01-01 09:00:00,4.68,273.10272,1010.90985,1.7071474,28.372065,0.0,0.0
2018-01-01 10:00:00,4.97,271.05432,1011.36633,1.7263281,31.951893,0.0,0.0
2018-01-01 11:00:00,5.25,269.49435,1011.9381,1.6493081,35.22364,0.0,0.0
2018-01-01 12:00:00,5.55,269.0598,1012.5557,1.5229378,36.17967,0.0,0.0
2018-01-01 13:00:00,6.02,269.2857,1013.07404,1.3557869,35.63544,0.0,0.0
2018-01-01 14:00:00,6.49,270.2246,1013.58453,1.124146,33.172344,0.0,0.0
2018-01-01 15:00:00,6.45,270.40826,1013.89935,0.9874569,32.788307,0.0,0.0
2018-01-01 16:00:00,6.33,269.81815,1014.20734,0.99494606,34.16191,0.0,0.0
2018-01-01 17:00:00,6.15,269.04144,1014.2943,1.1167668,36.025574,0.0,0.0
2018-01-01 18:00:00,5.96,267.94626,1014.48486,1.3101121,39.12876,0.0,0.0
2018-01-01 19:00:00,6.16,267.27917,1014.8783,1.4709306,44.792416,0.0,0.0
2018-01-01 20:00:00,5.94,267.04785,1015.17865,1.5026901,46.187695,0.0,0.0
2018-01-01 21:00:00,5.9,266.87415,1015.457,1.4772367,47.679813,0.0,0.0
2018-01-01 22:00:00,6.06,266.69232,1016.144,1.4853928,49.569424,0.0,0.0
2018-01-01 23:00:00,6.09,266.6483,1016.93164,1.4679295,51.002502,0.0,0.0
2018-01-02 00:00:00,6.41,266.6699,1017.9302,1.4840947,52.088905,0.0,0.0
2018-01-02 01:00:00,6.41,268.85577,1018.90735,1.3353802,48.73121,0.0,0.0
2018-01-02 02:00:00,6.57,271.89603,1019.70654,1.8052607,40.03655,0.0,0.0
2018-01-02 03:00:00,6.21,273.2614,1020.04565,2.2134492,34.91609,0.0,0.0
2018-01-02 04:00:00,6.08,274.13214,1019.37225,2.2321928,30.718344,0.0,0.0
2018-01-02 05:00:00,6.11,274.6021,1018.61053,1.8408778,27.887604,0.0,0.0
2018-01-02 06:00:00,5.52,274.94128,1018.1389,1.4501357,25.625595,0.0,0.0
2018-01-02 07:00:00,5.44,274.89105,1017.3914,1.3473065,25.236671,0.0,0.0
2018-01-02 08:00:00,5.13,274.25946,1017.69104,1.035319,27.195717,0.0,0.0
2018-01-02 09:00:00,4.65,272.97504,1018.39954,1.1807299,30.59836,0.0,0.0
2018-01-02 10:00:00,4.44,271.36722,1019.5692,1.1485503,35.102047,0.0,0.0
2018-01-02 11:00:00,4.35,270.8001,1020.3313,1.1045344,37.132534,0.0,0.0
2018-01-02 12:00:00,4.2,270.82196,1020.9455,0.9711515,37.438835,0.0,0.0
2018-01-02 13:00:00,4.03,270.7586,1021.52014,0.8870037,37.514225,0.0,0.0
2018-01-02 14:00:00,4.05,270.30212,1021.9521,1.0317141,38.096886,0.0,0.0
2018-01-02 15:00:00,3.97,269.2301,1022.4202,1.2306492,39.87565,0.0,0.0
2018-01-02 16:00:00,3.92,268.24646,1022.56116,1.4559679,40.339584,0.0,0.0
2018-01-02 17:00:00,3.69,267.55353,1022.543,1.5678796,37.326927,0.0,0.0
2018-01-02 18:00:00,3.63,266.87048,1022.7964,1.5926156,34.0769,0.0,0.0
2018-01-02 19:00:00,3.48,266.34753,1023.3747,1.6723729,30.729378,0.0,0.0
2018-01-02 20:00:00,3.13,266.02887,1023.0411,1.5823604,30.618063,0.0,0.0
2018-01-02 21:00:00,3.08,266.24536,1023.1769,1.2983105,29.93379,0.0,0.0
2018-01-02 22:00:00,3.23,265.91525,1023.2464,1.2867293,30.96544,0.0,0.0
2018-01-02 23:00:00,3.1,265.79547,1023.8111,1.2369338,31.60209,0.0,0.0
2018-01-03 00:00:00,3.17,266.12735,1024.3993,1.0845187,31.395086,0.0,0.0
2018-01-03 01:00:00,3.53,267.27563,1024.6676,0.8471659,31.122478,0.0,0.0
2018-01-03 02:00:00,3.89,269.887,1025.1295,0.7709617,24.785082,0.0,0.0
2018-01-03 03:00:00,3.91,271.45053,1024.8302,0.9324919,21.860973,0.0,0.0
2018-01-03 04:00:00,3.92,272.64746,1023.62134,1.291386,19.726055,0.0,0.0
2018-01-03 05:00:00,4.05,273.56238,1022.47534,1.2395538,18.219732,0.0,0.0
2018-01-03 06:00:00,3.93,274.09503,1021.6325,0.89326715,17.304352,0.0,0.0
2018-01-03 07:00:00,4.18,273.64337,1020.9381,0.13898098,18.305283,0.0,0.0
2018-01-03 08:00:00,4.3,273.14893,1021.0022,0.8224889,20.394402,0.0,0.0
2018-01-03 09:00:00,4.0,271.59644,1021.0687,1.5698385,24.473688,0.0,0.0
2018-01-03 10:00:00,4.02,269.8484,1021.33453,1.2932459,28.07543,0.0,0.0
2018-01-03 11:00:00,3.88,269.20712,1021.64795,1.2058011,29.589567,0.0,0.0
2018-01-03 12:00:00,4.01,268.98767,1022.1654,1.1747694,30.32643,0.0,0.0
2018-01-03 13:00:00,3.99,268.82227,1022.2989,1.1312292,31.11428,0.0,0.0
2018-01-03 14:00:00,4.21,268.59918,1022.47217,1.1075928,32.25415,0.0,0.0
2018-01-03 15:00:00,4.3,268.03864,1022.17346,1.1726906,33.99014,0.0,0.0
2018-01-03 16:00:00,4.38,267.3979,1022.1247,1.3229901,35.501625,0.0,0.0
2018-01-03 17:00:00,4.24,267.27698,1021.7346,1.3341314,34.387554,0.0,0.0
