datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,21.69,286.48495,1008.8197,2.865841,73.026535,0.0,0.0
2018-01-01 01:00:00,22.45,287.99603,1009.3702,3.4873314,65.40676,0.0,0.0
2018-01-01 02:00:00,23.45,289.50916,1009.6822,3.9494712,59.443005,0.0,0.0
2018-01-01 03:00:00,24.35,290.79788,1009.09485,4.04289,54.804688,0.0,0.0
2018-01-01 04:00:00,24.63,291.82098,1008.00946,3.9793484,52.276695,0.0,0.0
2018-01-01 05:00:00,24.86,292.4331,1006.92596,3.9691596,51.65045,0.0,0.0
2018-01-01 06:00:00,25.3,292.55823,1006.0018,3.977956,52.644737,0.0,0.0
2018-01-01 07:00:00,25.13,292.5951,1005.6783,2.198759,53.788017,0.0,0.0
2018-01-01 08:00:00,24.83,292.31415,1005.73126,2.0682933,55.441826,0.0,0.0
2018-01-01 09:00:00,24.97,291.591,1005.85986,2.1307268,58.774967,0.0,0.0
2018-01-01 10:00:00,25.14,290.5465,1006.3563,2.2050593,64.84875,0.0,0.0
2018-01-01 11:00:00,25.31,289.85178,1006.9881,2.3549945,69.96069,0.0,0.0
2018-01-01 12:00:00,25.43,289.2727,1007.3857,2.3788097,75.091484,0.0,0.0
2018-01-01 13:00:00,26.08,289.04742,1007.9241,2.538745,78.382454,0.0,0.0
2018-01-01 14:00:00,26.36,288.82227,1008.21454,2.8095374,80.860435,0.0,0.0
2018-01-01 15:00:00,26.46,288.8028,1008.0694,3.1528518,80.90336,0.0,0.0
2018-01-01 16:00:00,27.13,288.5994,1007.96735,3.4607985,80.748436,0.0,0.0
2018-01-01 17:00:00,27.25,288.4809,1007.7543,3.6500878,79.380486,0.0,0.0
2018-01-01 18:00:00,26.51,288.4404,1007.39484,3.725729,77.26853,0.0,0.0
2018-01-01 19:00:00,25.89,288.4745,1007.70825,2.4771223,80.27812,0.0,0.0
2018-01-01 20:00:00,25.49,288.4541,1007.10864,2.543205,78.05644,0.0,0.0
2018-01-01 21:00:00,24.96,288.6964,1006.98694,2.6214685,74.793846,0.0,0.0
2018-01-01 22:00:00,24.56,288.47162,1007.06396,2.762335,74.9422,0.0,0.0
2018-01-01 23:00:00,24.73,288.3358,1007.57166,2.9233308,75.37287,0.0,0.0
2018-01-02 00:00:00,26.29,288.66403,1008.0502,3.01498,73.884224,0.0,0.0
2018-01-02 01:00:00,26.22,289.79132,1008.4473,3.7556868,67.691574,0.0,0.0
2018-01-02 02:00:00,26.27,291.13626,1008.91656,4.337769,60.66192,0.0,0.0
2018-01-02 03:00:00,26.24,292.24188,1008.29565,4.4754033,57.12469,0.0,0.0
2018-01-02 04:00:00,26.0,293.2337,1007.4623,4.430398,54.493046,0.0,0.0
2018-01-02 05:00:00,26.02,293.78375,1006.51056,4.331145,53.39882,0.0,0.0
2018-01-02 06:00:00,26.08,293.64636,1005.40894,4.1002436,54.695385,0.0,0.0
2018-01-02 07:00:00,26.23,293.95355,1004.53143,3.766428,56.763245,0.0,0.0
2018-01-02 08:00:00,26.21,293.2536,1004.401,3.3009353,60.150124,0.0,0.0
2018-01-02 09:00:00,26.53,292.40277,1004.3795,2.8950005,64.30819,0.0,0.0
2018-01-02 10:00:00,26.76,291.45706,1004.9292,2.9511204,69.28252,0.0,0.0
2018-01-02 11:00:00,27.02,290.8216,1005.6713,3.3443305,73.2033,0.0,0.0
2018-01-02 12:00:00,27.3,290.6032,1006.32544,3.7472746,74.73108,0.0015750527,0.0
2018-01-02 13:00:00,27.81,290.59845,1006.86017,3.919439,74.337524,0.0,0.0
2018-01-02 14:00:00,28.09,290.55994,1007.2121,3.9384856,73.62207,0.0,0.0
2018-01-02 15:00:00,27.74,290.46057,1007.30023,3.902135,73.02624,0.0,0.0
2018-01-02 16:00:00,28.17,290.54724,1006.99115,3.8641567,71.38507,0.0,0.0
2018-01-02 17:00:00,28.42,290.50665,1006.74304,3.8150911,70.47121,0.0,0.0
2018-01-02 18:00:00,28.17,290.50525,1006.2264,3.8242028,69.62502,0.0,0.0
2018-01-02 19:00:00,27.98,290.46082,1006.59467,2.640814,71.65336,0.0,0.0
