datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,6.6,277.0084,994.6797,2.3692362,73.287704,1.1217743,0.0
2018-01-01 01:00:00,6.6,278.22455,995.11017,4.1695275,60.784115,0.0,0.0
2018-01-01 02:00:00,6.64,278.73572,994.9222,4.5131783,58.600933,0.0,0.0
2018-01-01 03:00:00,6.81,279.10452,994.21484,4.5083866,57.01521,0.0066533685,0.0
2018-01-01 04:00:00,7.02,279.2624,993.55945,4.2340827,56.002342,0.022422522,0.0
2018-01-01 05:00:00,7.11,279.55615,993.3259,3.98826,55.33088,0.11327118,0.0
2018-01-01 06:00:00,7.27,279.63245,993.7218,4.0944214,54.070442,0.083372,0.0
2018-01-01 07:00:00,7.25,279.71228,993.96826,3.234506,53.20975,0.0022426248,0.0
2018-01-01 08:00:00,6.88,278.7497,994.35126,2.7373738,58.549488,0.0,0.0
2018-01-01 09:00:00,6.72,277.6574,994.97986,2.6303573,65.211975,0.0,0.0
2018-01-01 10:00:00,6.92,276.65198,995.5263,2.5530534,71.71678,0.0,0.0
2018-01-01 11:00:00,7.21,275.49435,995.90814,2.2585633,78.32525,0.0,0.0
2018-01-01 12:00:00,7.58,274.75122,996.37573,2.1175995,80.95105,0.0,0.0
2018-01-01 13:00:00,7.58,274.55524,996.5541,2.321851,81.18598,0.001013279,0.0
2018-01-01 14:00:00,7.73,274.44336,996.8145,2.4663136,81.50253,0.0,0.0
2018-01-01 15:00:00,7.71,273.961,996.9494,2.4023464,82.9345,0.0015944242,0.0
2018-01-01 16:00:00,7.43,273.73416,996.8173,2.2556868,83.84121,0.0028163195,0.0
2018-01-01 17:00:00,7.21,273.6762,996.9143,2.117602,84.29496,0.0033080578,0.0
2018-01-01 18:00:00,7.5,273.6357,996.8748,1.9994835,84.24079,0.00507533,0.0
2018-01-01 19:00:00,7.46,273.71082,996.8283,2.427348,82.37659,0.0013262033,0.0
2018-01-01 20:00:00,7.16,273.53223,997.24866,2.2615495,83.575584,0.0036507845,0.0
2018-01-01 21:00:00,7.34,273.94836,997.5369,2.009913,83.17488,0.0059455633,0.0
2018-01-01 22:00:00,7.28,274.27045,997.93396,1.6826786,81.53531,0.006750226,0.0
2018-01-01 23:00:00,7.34,274.79282,998.12164,1.5143147,82.0015,0.004082918,0.0
2018-01-02 00:00:00,7.72,276.74802,998.66016,2.3113015,76.55947,0.27113557,0.0
2018-01-02 01:00:00,7.89,278.15265,998.70734,3.3485463,67.14393,0.0,0.0
2018-01-02 02:00:00,7.6,278.95267,997.9866,4.0722313,63.09396,0.098643824,0.0
2018-01-02 03:00:00,6.9,279.63446,997.15564,4.4891753,58.615868,0.040587038,0.0
2018-01-02 04:00:00,6.38,279.71027,996.24225,4.407714,55.622322,0.0061690807,0.0
2018-01-02 05:00:00,6.95,280.3228,995.67053,4.452379,51.601982,0.017635524,0.0
2018-01-02 06:00:00,7.51,280.52332,995.5989,3.8020158,49.505062,0.004544854,0.0
2018-01-02 07:00:00,7.55,280.43402,995.4614,3.2767153,50.58984,0.0,0.0
2018-01-02 08:00:00,7.73,279.4157,994.981,2.79274,55.843746,0.0,0.0
2018-01-02 09:00:00,7.76,278.14886,995.08954,2.7145627,61.912148,0.0,0.0
2018-01-02 10:00:00,8.48,277.20706,995.02924,2.8094826,65.765854,0.0,0.0
2018-01-02 11:00:00,8.4,276.72003,995.1713,3.390871,66.54474,0.0,0.0
