datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,2.46,280.70956,837.2497,0.37709725,88.4269,0.9595305,0.049999997
2018-01-01 01:00:00,2.59,280.57025,837.72015,0.620577,88.34404,0.0,0.03
2018-01-01 02:00:00,2.54,280.6322,838.3022,0.53964406,87.93595,0.10617636,0.0
2018-01-01 03:00:00,2.29,282.3799,839.09485,0.49801913,86.453285,0.134781,0.0
2018-01-01 04:00:00,2.0,285.19208,839.5895,0.69655955,68.303375,0.023443252,0.0
2018-01-01 05:00:00,1.92,286.4956,839.6359,0.9080013,63.823364,0.0,0.0
2018-01-01 06:00:00,1.72,287.37854,838.7818,1.1277173,59.754856,0.043079257,0.0
2018-01-01 07:00:00,1.59,287.05212,839.2683,1.0842229,54.622986,0.26065856,0.0
2018-01-01 08:00:00,1.96,287.57782,838.09125,1.0943121,51.18602,0.0021904707,0.0
2018-01-01 09:00:00,2.01,287.64178,837.40985,1.2437774,46.702568,0.4632473,0.0
2018-01-01 10:00:00,2.19,287.05627,837.06635,1.0092169,48.22898,0.031776726,0.0
2018-01-01 11:00:00,2.16,286.19553,836.84814,0.7471917,52.191208,0.0,0.0
2018-01-01 12:00:00,2.32,284.72192,836.9957,0.82064134,65.05336,0.0,0.0
2018-01-01 13:00:00,2.67,284.00836,837.29407,0.6682206,62.535988,0.0,0.0
2018-01-01 14:00:00,2.78,283.06445,837.6145,0.5720538,72.07846,0.0,0.0
2018-01-01 15:00:00,2.86,282.3907,838.01935,0.4968907,73.64438,0.0,0.0
2018-01-01 16:00:00,3.34,281.83963,838.34735,0.5189183,76.13213,0.004544854,0.0
2018-01-01 17:00:00,3.66,281.34027,838.4143,0.45015916,77.63675,0.010445714,0.0
2018-01-01 18:00:00,3.82,280.90134,838.10486,0.44004282,79.50419,0.011095428,0.0
2018-01-01 19:00:00,3.49,280.6444,837.40826,0.4044642,82.5196,0.0,0.0
2018-01-01 20:00:00,3.21,280.16895,836.9587,0.41468495,86.18168,0.0,0.0
