datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,12.0,281.15683,992.02966,7.6128025,83.83691,14.990955,0.0
2018-01-01 01:00:00,11.64,280.57025,991.91016,8.453719,81.3962,0.0,0.0
2018-01-01 02:00:00,11.73,280.06775,991.84216,8.7983,81.892105,0.075152144,0.0
2018-01-01 03:00:00,11.5,280.04593,992.17487,8.846271,82.87738,0.21027401,0.0
2018-01-01 04:00:00,10.58,279.80927,992.99945,8.776393,83.57591,0.40490553,0.0
2018-01-01 05:00:00,9.6,279.6831,994.08594,7.8385878,83.30284,0.16242266,0.0
2018-01-01 06:00:00,7.91,279.24573,995.2618,6.9671154,80.819336,0.03093481,0.0
2018-01-01 07:00:00,7.98,278.55798,996.1783,6.0962605,83.26763,0.0,0.0
2018-01-01 08:00:00,8.72,278.3376,996.53125,6.1239443,84.21257,0.0,0.0
2018-01-01 09:00:00,9.99,278.64764,996.73987,6.2836814,84.31062,0.0,0.0
2018-01-01 10:00:00,10.13,279.18713,996.5963,6.383747,82.68012,0.006236136,0.0
2018-01-01 11:00:00,9.71,279.93967,996.03815,7.5321403,78.96919,0.10047853,0.0
2018-01-01 12:00:00,9.27,280.34497,995.4257,7.018167,76.570274,0.06747246,0.0
2018-01-01 13:00:00,9.47,280.51422,994.70404,5.0712433,76.94365,0.011846423,0.0
2018-01-01 14:00:00,10.64,280.39258,994.1345,4.586229,75.987434,0.0,0.0
2018-01-01 15:00:00,11.42,279.95905,993.5594,3.6240003,78.125244,0.005811453,2.59
2018-01-01 16:00:00,12.71,279.54276,993.14734,2.926217,80.973885,0.06438792,6.58
2018-01-01 17:00:00,13.33,279.15863,993.2143,2.3246133,84.25392,0.21061301,3.58
2018-01-01 18:00:00,13.72,278.91306,993.1848,1.7900696,87.21579,0.2622694,1.18
2018-01-01 19:00:00,13.49,278.49207,993.1283,1.2306997,90.833786,0.49835432,0.0
2018-01-01 20:00:00,13.14,278.49512,993.93866,1.4075174,92.90071,0.6300062,1.37
2018-01-01 21:00:00,12.95,278.62415,994.67694,2.1429589,92.30264,0.57820976,7.6
2018-01-01 22:00:00,12.57,278.5146,995.55396,2.742605,92.29931,0.35622716,0.21
2018-01-01 23:00:00,12.34,278.41,996.3516,2.7960908,92.62914,0.37236512,0.0
2018-01-02 00:00:00,11.82,278.27145,997.15015,2.9414582,92.56493,4.313701,0.0
2018-01-02 01:00:00,11.24,277.85968,997.9373,3.125588,92.6303,0.0,0.0
2018-01-02 02:00:00,10.82,277.48978,998.96655,3.050023,93.45091,0.022206455,0.0
2018-01-02 03:00:00,10.17,277.08173,999.8156,3.0433018,92.5005,0.035438687,0.0
2018-01-02 04:00:00,10.4,277.17706,1000.54224,3.119114,91.68691,0.09132922,0.0
2018-01-02 05:00:00,10.81,277.04938,1001.36053,3.447955,91.91366,0.07119775,0.0
2018-01-02 06:00:00,10.75,277.25574,1002.3589,3.8166788,92.65466,0.027962029,0.0
2018-01-02 07:00:00,9.98,277.43988,1003.8014,3.6468866,93.07676,0.007353723,0.0
2018-01-02 08:00:00,9.26,277.4743,1004.651,3.8300958,93.40309,0.030040741,0.0
2018-01-02 09:00:00,8.94,277.88715,1005.7395,4.3404927,93.217995,0.11166185,0.0
2018-01-02 10:00:00,9.32,278.56058,1006.27924,4.5263357,92.74835,0.016614795,0.0
2018-01-02 11:00:00,9.0,279.3216,1006.3313,5.340257,88.41378,0.059857965,0.0
2018-01-02 12:00:00,8.17,279.66962,1006.33545,5.4466667,85.41781,0.012795616,0.0
2018-01-02 13:00:00,8.79,279.77618,1005.71014,4.9314923,83.95171,0.018619,0.0
2018-01-02 14:00:00,9.93,279.43298,1005.69214,4.3498626,85.76744,0.0018253922,0.0
2018-01-02 15:00:00,10.0,279.05627,1005.0902,4.2579727,86.27767,0.0,0.0
2018-01-02 16:00:00,11.78,278.6156,1004.5212,4.3639035,85.36899,0.0072419643,0.0
2018-01-02 17:00:00,13.77,278.55157,1003.663,4.5849686,83.64909,0.058621168,0.52
2018-01-02 18:00:00,15.34,278.76306,1002.2364,5.163217,83.748795,0.36174065,0.21
