datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,9.92,277.15097,978.7897,5.243398,87.197655,6.0114264,0.0
2018-01-01 01:00:00,10.84,276.99017,978.9302,5.1291656,87.14661,0.0,0.0
2018-01-01 02:00:00,11.73,276.95447,978.9522,5.3055296,86.855576,0.023735687,0.0
2018-01-01 03:00:00,12.03,277.21976,978.97485,5.306392,87.80111,0.083785504,0.0
2018-01-01 04:00:00,11.93,277.80536,978.69946,5.6786213,85.36066,0.19808486,0.0
2018-01-01 05:00:00,11.62,277.93896,978.66595,5.5198646,85.96614,0.16770512,0.0
2018-01-01 06:00:00,11.67,277.97815,978.7518,5.4849863,86.604904,0.1231879,0.0
2018-01-01 07:00:00,11.53,277.88416,979.3883,5.0292926,88.35944,0.039808452,0.0
2018-01-01 08:00:00,10.98,277.9372,979.9913,4.965919,88.86256,0.06596744,0.0
2018-01-01 09:00:00,10.3,277.69257,980.2498,4.3156347,89.81016,0.026591122,0.0
2018-01-01 10:00:00,9.62,277.96252,980.4763,4.0487666,90.01901,0.010550022,0.0
2018-01-01 11:00:00,9.43,278.45724,980.7381,4.275647,88.91245,0.006020069,0.0
2018-01-01 12:00:00,9.45,278.67505,980.7757,4.977929,88.20731,0.11174381,0.0
2018-01-01 13:00:00,10.35,278.68414,980.8141,4.7609057,88.00862,0.13527274,0.0
2018-01-01 14:00:00,11.49,278.48633,981.47455,3.9953654,88.9345,0.3502071,0.0
2018-01-01 15:00:00,11.06,278.34186,982.1994,2.9404552,87.52529,0.110924244,0.089999996
2018-01-01 16:00:00,11.09,277.67947,983.1973,1.9194037,92.04807,0.09316206,0.0
2018-01-01 17:00:00,11.02,277.21918,985.2343,2.1818776,93.32898,0.015333295,0.0
2018-01-01 18:00:00,10.48,277.04,987.2548,3.3254955,92.750755,0.004896545,0.0
2018-01-01 19:00:00,10.17,276.203,989.6383,3.42557,91.8677,0.0,0.0
2018-01-01 20:00:00,10.95,275.84082,991.1387,2.9856334,90.81596,0.0,0.0
2018-01-01 21:00:00,11.2,275.65735,992.07697,2.9827862,90.78077,0.0,0.0
2018-01-01 22:00:00,10.83,275.48724,993.05396,3.0739763,91.33618,0.0,0.0
2018-01-01 23:00:00,10.56,275.61313,993.80164,3.3610165,91.54411,0.0,0.0
2018-01-02 00:00:00,10.12,275.9199,994.78015,3.3726697,91.53391,1.574257,0.0
2018-01-02 01:00:00,9.56,275.99445,995.4373,3.3573859,91.6164,0.0,0.0
2018-01-02 02:00:00,9.41,276.0718,995.91656,3.1614397,91.98811,0.0,0.0
2018-01-02 03:00:00,9.0,275.98016,996.1256,2.867677,93.05746,0.0,0.0
2018-01-02 04:00:00,9.23,276.1087,995.93225,3.0628781,93.8731,0.0,0.0
2018-01-02 05:00:00,8.5,276.55328,995.62054,3.2772918,94.08386,0.0024065375,0.0
2018-01-02 06:00:00,7.77,276.40417,994.9189,2.7607217,94.08821,0.0,0.0
2018-01-02 07:00:00,8.46,275.76605,994.59143,2.222116,92.93097,0.0,0.71
2018-01-02 08:00:00,10.2,275.65985,993.94104,2.5438533,91.746796,0.0022947788,0.0
2018-01-02 09:00:00,12.21,275.93793,993.08954,3.183342,88.67064,0.07729232,0.12
2018-01-02 10:00:00,15.19,276.06058,991.08923,3.8784533,88.32412,0.59937686,0.0
2018-01-02 11:00:00,15.49,276.0794,989.56134,4.4962516,89.90676,0.77884644,0.0
2018-01-02 12:00:00,14.41,276.10907,986.96545,5.1353526,93.59157,1.3634369,0.0
2018-01-02 13:00:00,13.65,277.12775,985.8702,5.673643,93.03323,0.6922409,0.0
2018-01-02 14:00:00,12.89,278.5775,985.2021,4.909098,92.911736,0.08250028,0.0
2018-01-02 15:00:00,12.48,279.39026,985.06024,4.8133264,88.59071,0.052899122,0.0
2018-01-02 16:00:00,12.93,279.01013,984.9812,4.417348,88.378746,0.026896596,0.61
2018-01-02 17:00:00,14.01,279.02032,984.33307,4.411338,87.90454,0.0564754,3.6799998
2018-01-02 18:00:00,15.5,278.86462,982.6264,4.134777,89.60191,0.17783022,2.11
2018-01-02 19:00:00,16.12,279.12878,978.53467,3.971008,90.534065,0.8749813,10.309999
2018-01-02 20:00:00,15.93,278.9195,975.0511,4.7410927,92.10052,2.1193771,5.25
2018-01-02 21:00:00,14.25,278.2688,970.3269,5.709649,94.42826,2.3133607,0.0
2018-01-02 22:00:00,13.41,279.5383,967.0664,8.519737,93.4599,2.3819506,0.02
2018-01-02 23:00:00,12.95,280.12946,965.8011,11.51257,87.72307,0.6853938,3.3400002
2018-01-03 00:00:00,12.8,278.92227,965.7093,10.402001,88.77936,13.1287,3.76
2018-01-03 01:00:00,12.23,278.42798,965.9977,10.1800785,88.00166,0.0,1.0699999
2018-01-03 02:00:00,11.94,278.12527,966.09955,10.175164,88.3874,0.8650366,1.9799999
2018-01-03 03:00:00,12.25,278.14584,966.3702,9.777846,89.54115,0.9586513,2.59
2018-01-03 04:00:00,12.74,278.1631,967.01135,9.263981,90.43916,1.039844,0.0
2018-01-03 05:00:00,12.47,277.7245,968.96533,7.6417217,92.54945,0.9594485,0.0
2018-01-03 06:00:00,12.77,277.3294,971.2025,6.038486,93.50816,0.83993006,0.0
2018-01-03 07:00:00,12.97,278.17267,973.9381,5.5406337,91.818695,0.17373404,0.0
2018-01-03 08:00:00,12.75,278.5747,975.3022,5.930525,90.284065,0.05058199,0.0
2018-01-03 09:00:00,12.63,278.8523,976.51874,6.0431867,89.60302,0.056661665,0.0
2018-01-03 10:00:00,12.4,279.13745,977.84454,6.0896406,88.88281,0.058457255,0.0
2018-01-03 11:00:00,12.22,279.45712,978.998,6.903348,87.87628,0.09509176,0.0
2018-01-03 12:00:00,11.48,279.53845,979.7054,7.38509,87.55235,0.35497546,0.0
2018-01-03 13:00:00,12.18,279.6543,980.2489,6.5984116,86.956345,0.29174984,0.0
2018-01-03 14:00:00,13.33,279.78278,980.6422,5.6816163,85.17021,0.027142465,0.0
2018-01-03 15:00:00,13.87,279.6695,980.67346,5.6638155,83.59633,0.023797154,0.0
2018-01-03 16:00:00,13.83,279.53656,980.3247,5.96732,82.779816,0.35229325,1.31
2018-01-03 17:00:00,13.23,279.76526,980.1746,6.8174314,85.449265,0.69513917,0.0
2018-01-03 18:00:00,13.22,279.5459,980.7225,7.5303245,90.12477,1.1305218,0.0
2018-01-03 19:00:00,12.09,279.37726,981.4448,6.468439,90.056946,0.49240887,0.0
2018-01-03 20:00:00,11.04,279.26276,981.7796,6.179135,89.02252,0.13811886,0.0
