datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,8.5,271.00058,963.71967,1.426694,92.521484,0.0,0.0
2018-01-01 01:00:00,8.31,271.02728,963.1902,1.4639066,92.20109,0.0,0.0
2018-01-01 02:00:00,8.24,270.80798,963.0422,1.4695307,92.38139,0.0,0.0
2018-01-01 03:00:00,7.92,270.60843,962.47485,1.5097936,92.576836,0.0,0.0
2018-01-01 04:00:00,7.87,270.47723,962.11945,1.4958328,92.66031,0.0,0.0
2018-01-01 05:00:00,8.11,270.42334,961.7459,1.4664981,92.583145,0.0,0.0
2018-01-01 06:00:00,8.33,270.5504,961.5818,1.4268805,92.34603,0.0,0.0
2018-01-01 07:00:00,8.66,270.76306,962.8883,1.3662751,93.5737,0.0,0.0
2018-01-01 08:00:00,8.81,273.88055,962.96124,0.94672394,84.19688,0.0,0.0
2018-01-01 09:00:00,9.07,276.4699,963.0598,0.909993,77.02946,0.0,0.0
2018-01-01 10:00:00,10.12,278.64417,962.8463,0.8754064,73.40331,0.0,0.0
2018-01-01 11:00:00,11.04,280.44943,962.2081,0.9229033,69.905914,0.0,0.0
2018-01-01 12:00:00,11.2,281.29028,961.5257,0.9320003,70.44554,0.0,0.0
2018-01-01 13:00:00,11.43,281.20563,960.9241,1.0267638,75.15588,0.0,0.0
2018-01-01 14:00:00,11.76,280.33008,960.33453,1.4385471,79.36267,0.0,0.0
2018-01-01 15:00:00,12.55,278.5567,959.8794,1.7251799,85.06431,0.0,0.0
2018-01-01 16:00:00,13.16,276.55643,959.40735,1.6828018,91.50294,0.0,0.0
2018-01-01 17:00:00,13.7,275.10394,958.87427,1.5707433,94.56326,0.0,0.0
2018-01-01 18:00:00,14.02,274.1611,958.51483,1.5826237,95.612274,0.0,0.0
2018-01-01 19:00:00,14.43,274.59363,958.2483,1.5626599,93.32243,0.0,0.0
2018-01-01 20:00:00,14.52,274.9912,957.36865,1.6805663,91.98113,0.0,1.42
2018-01-01 21:00:00,13.99,274.8839,956.56696,1.7212766,91.74416,0.0,2.6299999
2018-01-01 22:00:00,14.03,274.57513,956.074,1.6992207,91.92247,0.0,1.01
2018-01-01 23:00:00,14.64,274.67953,955.20166,1.4342518,92.30096,0.4799366,0.65999997
2018-01-02 00:00:00,16.58,274.0117,954.41016,1.5303606,93.11162,1.1531055,1.3699999
2018-01-02 01:00:00,16.34,273.7249,954.08734,1.5024525,94.890305,0.0,0.38
2018-01-02 02:00:00,15.5,273.3179,953.44653,1.4906127,98.99434,0.6169099,0.03
2018-01-02 03:00:00,14.16,273.1208,952.77563,1.57724,98.90772,0.31296536,0.0
2018-01-02 04:00:00,13.46,273.0052,952.5823,1.5764294,98.9474,0.10816008,0.0
2018-01-02 05:00:00,13.53,272.61383,952.30054,1.6638324,98.6958,0.016793609,0.0
2018-01-02 06:00:00,13.77,272.15417,952.3289,1.6907388,98.335365,0.012591481,0.0
2018-01-02 07:00:00,14.61,273.58636,952.9114,1.3032409,99.491554,0.060796738,0.0
2018-01-02 08:00:00,14.99,275.6286,953.56104,1.1641943,99.21186,0.16053766,0.0
2018-01-02 09:00:00,14.99,276.8188,954.28955,1.3375967,98.862976,0.4157126,0.0
2018-01-02 10:00:00,15.07,277.6426,954.6292,1.6293552,98.4013,0.46732277,0.0
2018-01-02 11:00:00,14.75,278.05792,954.81134,2.0539823,97.99324,0.31642616,0.0
2018-01-02 12:00:00,14.24,278.1989,954.91547,2.352688,96.83165,0.13440405,0.0
2018-01-02 13:00:00,13.85,277.70587,955.61017,3.0094218,98.84268,0.21312386,0.19999999
2018-01-02 14:00:00,13.55,276.5072,956.3621,3.9408226,98.5194,0.33966452,0.42999998
2018-01-02 15:00:00,13.42,275.4215,957.33026,3.6911676,98.95461,0.49218512,0.65999997
2018-01-02 16:00:00,13.19,274.7445,958.07117,2.8725684,99.818054,0.6163269,0.27999997
2018-01-02 17:00:00,13.04,274.68634,958.7731,3.0003593,99.562805,0.64750016,0.0
2018-01-02 18:00:00,12.99,274.84705,959.2564,3.1916137,99.80574,0.69245696,0.0
2018-01-02 19:00:00,13.05,274.91785,959.7047,3.289401,99.398994,0.63352287,0.0
2018-01-02 20:00:00,12.96,275.2105,960.1111,3.214126,99.185715,0.5494207,0.0
2018-01-02 21:00:00,12.77,275.53052,960.5569,3.2330523,99.07705,0.39829314,0.0
2018-01-02 22:00:00,12.55,275.7551,960.8964,3.2572708,98.6477,0.23965538,0.0
2018-01-02 23:00:00,12.15,275.8814,961.1811,3.311942,98.30414,0.16823411,0.0
2018-01-03 00:00:00,11.32,276.13712,961.1893,3.3872302,93.70278,8.400205,0.0
2018-01-03 01:00:00,10.72,276.04907,961.5676,3.4230044,93.08165,0.0,0.0
2018-01-03 02:00:00,10.39,275.91824,961.97955,3.3962922,92.76097,0.021725893,0.0
2018-01-03 03:00:00,9.74,275.6478,961.97015,3.2268333,92.936455,0.009685755,0.0
2018-01-03 04:00:00,9.47,275.2373,962.01135,2.9051242,93.453514,0.0064373016,0.0
2018-01-03 05:00:00,9.21,275.1112,962.2353,2.6697626,93.33475,0.0039488077,0.0
2018-01-03 06:00:00,8.38,274.847,962.6325,2.3414485,93.337364,0.0015497208,0.0
2018-01-03 07:00:00,8.03,275.21173,962.3781,1.9737883,92.50634,0.0012829914,0.0
2018-01-03 08:00:00,7.67,275.86963,962.28217,1.4354165,91.080185,0.0,0.0
2018-01-03 09:00:00,6.75,277.2527,961.63873,2.2366624,79.69509,0.0,0.0
2018-01-03 10:00:00,6.22,278.239,960.8845,2.2615733,68.28527,0.0,0.0
2018-01-03 11:00:00,6.02,279.13095,959.22797,2.09778,60.45175,0.0,0.0
2018-01-03 12:00:00,5.8,280.00916,957.7554,2.0845737,53.47541,0.0,0.0
2018-01-03 13:00:00,6.28,280.37695,955.8689,2.2821684,49.668465,0.0,0.0
2018-01-03 14:00:00,6.94,279.7027,954.72217,1.9851685,54.999924,0.016078345,0.0
2018-01-03 15:00:00,7.73,278.4312,954.0134,2.110536,59.119884,0.0,0.0
2018-01-03 16:00:00,8.85,277.31586,953.5747,2.025136,63.109993,0.05362928,0.049999997
2018-01-03 17:00:00,10.36,276.46643,953.1346,2.099345,67.401955,0.069364905,0.0
2018-01-03 18:00:00,12.28,275.95215,952.3925,1.9801307,69.090576,0.0,0.0
2018-01-03 19:00:00,13.99,276.42413,953.90485,1.1173425,73.28545,0.0,0.03
2018-01-03 20:00:00,14.45,275.86237,953.74963,1.291782,76.20825,0.0,0.34999996
2018-01-03 21:00:00,14.06,274.85608,953.66876,1.5414099,78.13384,0.0032037497,0.40999997
2018-01-03 22:00:00,13.59,275.46924,954.1347,1.8230007,71.20149,0.12844801,0.0
2018-01-03 23:00:00,13.21,275.92966,954.3285,1.9885088,72.47721,0.41207674,0.0
2018-01-04 00:00:00,13.05,274.71384,954.198,1.5674309,92.01352,1.4419794,0.0
2018-01-04 01:00:00,12.56,274.32602,954.22156,1.1747968,98.428185,0.0,0.03
2018-01-04 02:00:00,12.38,274.29126,954.4964,1.3881267,98.58575,0.35601482,0.0
2018-01-04 03:00:00,11.87,274.35828,954.53345,1.6972868,98.23193,0.304956,0.0
2018-01-04 04:00:00,11.72,274.24384,954.84717,1.9915756,97.806076,0.18701702,0.0
2018-01-04 05:00:00,11.54,274.65417,955.3741,1.8939826,91.65558,0.07554889,0.0
2018-01-04 06:00:00,11.16,274.35846,955.9687,1.7634195,92.42915,0.012345612,0.0
2018-01-04 07:00:00,10.58,274.36945,955.9812,1.5651466,95.435486,0.09083305,0.0
2018-01-04 08:00:00,10.27,275.69177,956.4659,1.1347934,97.987564,0.15271455,0.0
2018-01-04 09:00:00,10.52,278.37048,956.9917,1.0538156,84.490265,0.09416044,0.0
