datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,6.85,278.12167,980.3697,7.480488,84.38599,2.1929443,0.0
2018-01-01 01:00:00,7.71,277.7011,981.1301,6.882066,82.80743,0.0,0.0
2018-01-01 02:00:00,7.85,277.42517,981.5722,6.612443,82.1975,0.0,0.0
2018-01-01 03:00:00,7.95,277.20804,981.8248,6.403485,83.35817,0.0,0.0
2018-01-01 04:00:00,8.75,277.12762,981.7195,6.119547,83.849594,0.0,0.0
2018-01-01 05:00:00,9.56,277.2046,981.5559,5.7949667,83.32611,0.0,0.0
2018-01-01 06:00:00,9.24,277.484,981.4218,5.468813,81.90122,0.0,0.0
2018-01-01 07:00:00,9.0,278.14587,981.3883,5.8933296,80.19294,0.0,0.0
2018-01-01 08:00:00,8.91,278.0954,981.5012,5.128889,80.552086,0.0,0.0
2018-01-01 09:00:00,9.38,277.59686,981.89984,4.204613,83.46977,0.0,0.0
2018-01-01 10:00:00,9.92,277.82385,982.44635,3.8504725,83.87275,0.0,0.0
2018-01-01 11:00:00,10.3,278.592,982.6881,2.9746408,82.845085,0.0,0.0
2018-01-01 12:00:00,10.25,279.20044,982.7657,3.7957442,80.12041,0.0,0.0
2018-01-01 13:00:00,9.72,279.5611,982.7341,4.631541,77.470406,0.010833144,0.0
2018-01-01 14:00:00,9.14,279.50195,983.1345,4.6884975,77.745224,0.03774464,0.0
2018-01-01 15:00:00,9.42,279.21295,983.3894,4.485317,77.940926,0.058323145,0.0
2018-01-01 16:00:00,9.71,278.21268,983.8873,4.0588765,82.36729,0.06946921,0.52
2018-01-01 17:00:00,10.67,278.02777,984.9943,4.029393,84.12993,0.18054247,0.0
2018-01-01 18:00:00,10.76,277.95993,985.83484,3.9536302,86.69909,0.10701417,0.0
2018-01-01 19:00:00,10.56,278.23425,986.9783,6.734763,90.64011,0.04042688,0.0
2018-01-01 20:00:00,9.93,278.3037,989.30865,6.954936,88.6894,0.011906028,0.0
2018-01-01 21:00:00,8.19,278.04797,990.9769,6.6204367,86.234055,0.0017285347,0.0
2018-01-01 22:00:00,8.15,277.7138,992.644,6.3435736,85.71093,0.0012218952,0.0
2018-01-01 23:00:00,8.72,277.50375,993.70166,6.139593,87.26094,0.0029355288,0.0
2018-01-02 00:00:00,8.6,277.56052,994.90015,6.153115,87.96867,0.53133965,0.0
2018-01-02 01:00:00,8.6,277.46515,995.64734,6.0263276,87.9234,0.0,0.0
2018-01-02 02:00:00,7.82,277.33743,996.35657,5.762743,88.82816,0.0,0.0
2018-01-02 03:00:00,6.86,277.1872,996.6156,5.2873073,89.75961,0.0,0.0
2018-01-02 04:00:00,6.62,277.09113,996.62225,4.977048,90.440384,0.0,0.0
2018-01-02 05:00:00,5.85,276.9068,996.52057,4.5135427,91.2926,0.0,0.0
2018-01-02 06:00:00,4.67,276.4784,996.71893,4.137717,91.516624,0.0,0.0
2018-01-02 07:00:00,5.67,275.83832,996.5614,3.2144308,89.501465,0.0,0.0
2018-01-02 08:00:00,7.29,275.5661,996.101,3.0288463,88.83913,0.0,0.0
2018-01-02 09:00:00,10.21,275.64496,995.78955,3.0719757,87.425644,0.0,0.0
2018-01-02 10:00:00,14.09,276.16214,994.64923,3.6800656,85.43257,0.042408705,0.0
2018-01-02 11:00:00,15.69,276.72003,993.3313,4.694535,87.09631,0.509575,0.0
2018-01-02 12:00:00,15.71,277.11884,991.0455,5.3248706,91.13054,1.1595219,0.0
2018-01-02 13:00:00,14.92,277.39728,989.15015,5.657623,93.09976,2.1770597,0.0
2018-01-02 14:00:00,13.64,278.64,987.6521,5.5829587,93.41274,0.10127551,0.0
2018-01-02 15:00:00,13.93,280.11682,986.7802,5.647292,92.1647,0.003427267,0.089999996
2018-01-02 16:00:00,15.3,280.86755,986.5912,6.300903,87.02297,0.0047832727,0.0
2018-01-02 17:00:00,15.65,280.6297,986.1531,6.17193,84.50026,0.02783537,0.0
2018-01-02 18:00:00,16.41,280.3451,985.15643,5.663444,85.06122,0.07325411,1.2099999
2018-01-02 19:00:00,16.31,280.34558,982.2547,4.7073097,89.294266,0.945434,3.1899998
2018-01-02 20:00:00,16.39,280.01324,979.34106,4.732482,89.248795,1.4326274,2.6799998
2018-01-02 21:00:00,15.13,280.1516,975.5469,6.6656933,92.8153,0.8382946,3.6899998
2018-01-02 22:00:00,12.85,281.4543,972.6764,7.543952,92.36389,1.0406226,0.0
2018-01-02 23:00:00,9.81,281.8404,971.84106,9.710095,84.14211,1.2747943,0.0
2018-01-03 00:00:00,9.07,280.59024,971.3693,9.27314,75.05328,9.647715,0.0
2018-01-03 01:00:00,9.27,279.79907,970.9977,9.670443,73.935745,0.0,0.0
2018-01-03 02:00:00,8.8,278.86356,970.6995,9.764115,76.04019,0.024128705,0.0
2018-01-03 03:00:00,8.57,278.74155,970.6802,10.11858,73.35247,0.017121434,0.0
2018-01-03 04:00:00,9.87,278.70215,970.32135,11.082295,74.19777,0.16621873,0.0
2018-01-03 05:00:00,10.68,278.6776,970.46533,11.674485,80.12394,0.38175657,0.0
2018-01-03 06:00:00,11.56,279.08722,970.8925,12.462228,79.61011,0.16904995,0.0
2018-01-03 07:00:00,11.3,279.1844,973.09814,11.438394,79.33804,0.102186225,0.06
2018-01-03 08:00:00,10.92,279.30518,975.1822,11.029867,79.99999,0.09099394,0.0
2018-01-03 09:00:00,11.1,279.53394,976.95874,10.701058,79.2961,0.090792775,0.0
2018-01-03 10:00:00,11.23,279.95972,978.58453,10.137386,77.69188,0.05558878,0.0
2018-01-03 11:00:00,10.57,280.37314,979.89795,10.023359,76.83609,0.028416514,0.0
2018-01-03 12:00:00,10.06,280.43298,980.74536,10.323946,77.446304,0.038214028,0.0
2018-01-03 13:00:00,11.04,280.6289,981.1489,8.433647,78.62878,0.04903972,0.0
2018-01-03 14:00:00,11.67,280.83942,982.1022,10.185218,74.78061,0.042125583,0.0
2018-01-03 15:00:00,11.52,280.9156,982.7434,9.516046,73.76177,0.0031888485,0.0
2018-01-03 16:00:00,11.06,280.7729,983.1447,9.148537,74.10513,0.01989305,0.0
2018-01-03 17:00:00,11.11,280.83948,983.4046,8.84139,73.48018,0.01874566,0.0
2018-01-03 18:00:00,11.91,280.6494,983.8325,8.4540415,73.85552,0.021636486,0.0
2018-01-03 19:00:00,11.74,280.22296,984.16486,7.887875,75.77372,0.13665855,0.0
2018-01-03 20:00:00,10.95,280.11432,984.3696,7.735415,76.95308,0.3117621,0.0
2018-01-03 21:00:00,10.35,280.11584,984.2388,7.964925,80.81414,0.59632945,0.0
2018-01-03 22:00:00,10.18,279.97705,984.59467,7.816314,82.59123,0.15737116,0.0
2018-01-03 23:00:00,10.73,279.81442,984.6685,7.44689,82.626495,0.09204447,0.0
2018-01-04 00:00:00,9.87,279.8193,985.14795,7.3682623,82.965485,2.691412,0.0
2018-01-04 01:00:00,10.7,279.53696,984.83154,6.8342648,83.686806,0.0,0.0
2018-01-04 02:00:00,11.95,279.08618,984.9364,6.1102552,85.04417,0.005705282,0.0
2018-01-04 03:00:00,12.7,278.8661,984.83344,5.199615,85.69606,0.0,0.03
2018-01-04 04:00:00,13.75,278.65985,984.0572,4.0443864,86.45056,0.0010952353,0.34
2018-01-04 05:00:00,15.37,278.43738,983.90405,3.3174684,87.179146,0.011615455,2.26
2018-01-04 06:00:00,16.46,278.1612,983.3387,2.9333093,88.05768,0.16736239,2.8
2018-01-04 07:00:00,15.6,278.35187,981.13116,2.6239405,91.9045,0.80669975,0.0
2018-01-04 08:00:00,15.33,278.09802,979.88586,2.5652134,92.832306,0.6356612,0.0
