datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,12.79,274.01035,914.5797,2.6873894,82.24543,0.39972365,0.35999998
2018-01-01 01:00:00,12.03,275.79877,915.3002,2.945334,84.7302,0.70138276,0.39
2018-01-01 02:00:00,10.95,276.3158,916.0122,2.8189113,85.914764,1.0360479,1.51
2018-01-01 03:00:00,10.24,276.32327,916.6348,2.7555587,86.24712,0.60104203,3.2
2018-01-01 04:00:00,9.72,275.99677,916.61945,2.756583,87.22467,0.55496764,4.21
2018-01-01 05:00:00,8.51,275.98975,916.71594,2.6715908,85.7778,0.15451759,2.05
2018-01-01 06:00:00,8.6,275.6129,916.9618,2.77589,83.548706,0.103496015,0.0
2018-01-01 07:00:00,8.32,275.35486,917.8683,2.8818855,78.92334,0.012211502,0.0
2018-01-01 08:00:00,7.07,274.75946,917.92126,2.6837118,79.509254,0.0046640635,0.0
2018-01-01 09:00:00,7.15,275.46405,918.01984,2.875123,75.59811,0.0012218952,0.0
2018-01-01 10:00:00,7.02,276.1344,917.44635,2.861411,72.662094,0.0,0.0
2018-01-01 11:00:00,6.26,276.78146,916.47815,3.6776152,66.00437,0.0,0.0
2018-01-01 12:00:00,5.96,277.22388,914.8657,3.6356378,60.52867,0.0,0.0
2018-01-01 13:00:00,6.39,277.38336,913.10406,3.2027626,56.906406,0.0,0.0
2018-01-01 14:00:00,7.52,277.21484,911.02454,3.0765467,54.61104,0.0019073486,0.0
2018-01-01 15:00:00,8.67,276.6778,909.07935,2.9356763,55.194176,0.0061690807,0.28
2018-01-01 16:00:00,9.4,275.7986,908.26733,3.0245435,59.527733,0.09953976,0.74
2018-01-01 17:00:00,9.96,275.51215,908.1643,3.0013535,64.81916,0.26489794,1.0699999
2018-01-01 18:00:00,10.63,275.3076,908.45483,3.272065,68.48274,0.13324013,0.0
2018-01-01 19:00:00,9.87,275.11316,909.4983,3.1521757,76.8572,0.33390522,0.0
2018-01-01 20:00:00,9.3,275.00293,910.37866,3.4259992,78.957344,0.6144047,0.0
2018-01-01 21:00:00,8.6,275.0304,911.86694,3.7876925,81.33495,1.0220706,0.0
2018-01-01 22:00:00,7.82,274.62982,913.134,3.7061825,88.29031,1.2666136,0.0
2018-01-01 23:00:00,7.54,274.7108,915.00165,3.4502695,89.67047,0.5884026,1.16
2018-01-02 00:00:00,6.66,274.6777,915.8002,3.2168097,89.50979,8.30994,2.3799999
2018-01-02 01:00:00,6.88,274.49835,916.42737,2.778275,88.43069,0.0,1.4
2018-01-02 02:00:00,7.32,274.63235,916.64655,2.4932961,87.63395,0.42954648,0.0
2018-01-02 03:00:00,7.12,274.5876,916.9556,2.5293615,87.3796,0.5043261,0.4
2018-01-02 04:00:00,7.49,274.34503,917.26227,2.8005073,88.91463,0.43469667,0.0
2018-01-02 05:00:00,7.32,274.18024,917.74054,2.8856733,89.185455,0.41727722,0.0
2018-01-02 06:00:00,6.68,274.25574,918.4389,2.9305487,88.79657,0.28494,1.04
2018-01-02 07:00:00,6.58,274.0805,919.1414,2.8727767,87.33192,0.21222979,1.53
2018-01-02 08:00:00,6.78,274.0036,920.211,2.7030911,87.26383,0.15541166,0.48999998
2018-01-02 09:00:00,6.41,274.14886,920.95953,2.5562172,85.89977,0.112213194,0.0
2018-01-02 10:00:00,5.95,274.36526,921.8892,2.8560615,84.21992,0.15075505,0.0
2018-01-02 11:00:00,5.97,274.87823,921.4813,2.5205457,79.51855,0.119403005,0.0
2018-01-02 12:00:00,5.81,275.4079,920.82544,2.8265986,71.265015,0.008824514,0.0
2018-01-02 13:00:00,6.25,275.63556,920.3002,2.533421,66.85401,0.0,0.0
2018-01-02 14:00:00,7.08,275.58923,920.19214,2.0864305,67.36383,0.0,0.0
2018-01-02 15:00:00,7.5,275.16174,919.9602,2.0722182,68.49312,0.0,0.0
2018-01-02 16:00:00,7.67,274.5277,919.9812,2.0054827,70.318245,0.0066310167,0.0
2018-01-02 17:00:00,8.47,274.12384,919.7131,1.9238151,71.62489,0.022619963,0.0
2018-01-02 18:00:00,9.81,274.1029,919.34644,1.956928,71.080376,0.07650256,0.17999999
2018-01-02 19:00:00,11.04,274.02527,919.0647,2.1156306,75.63031,0.1938045,0.21
2018-01-02 20:00:00,12.5,274.0523,918.2511,1.9614515,73.669685,0.10789931,2.86
2018-01-02 21:00:00,13.78,274.09497,917.64685,2.160096,73.78534,0.27251244,0.0
2018-01-02 22:00:00,14.34,274.58517,917.40643,2.402279,76.28326,0.33372617,0.0
2018-01-02 23:00:00,14.89,275.12946,917.4011,2.6148107,79.21972,0.52571297,4.2200003
2018-01-03 00:00:00,14.69,275.725,916.5993,2.76019,80.93094,4.8963604,0.0
2018-01-03 01:00:00,14.08,276.41626,915.7377,2.8055363,81.00438,0.0,0.0
