datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,6.77,245.24472,914.65967,1.4903896,71.00442,0.004798174,0.0
2018-01-01 01:00:00,7.25,245.43744,914.03015,1.4384915,71.81875,0.0,0.21
2018-01-01 02:00:00,7.7,245.84706,913.3022,1.433706,71.85003,0.0,0.0
2018-01-01 03:00:00,8.54,246.39359,912.4348,1.3421568,71.724236,0.0013932586,0.0
2018-01-01 04:00:00,9.19,246.9245,911.81946,1.3069719,71.828026,0.010650605,0.0
2018-01-01 05:00:00,9.66,247.5874,910.8759,1.274242,71.85269,0.04709512,0.0
2018-01-01 06:00:00,9.87,248.25157,910.0518,1.2873044,71.98848,0.13561547,0.0
2018-01-01 07:00:00,9.62,249.04431,909.77826,1.2984936,71.85499,0.28525293,0.0
2018-01-01 08:00:00,9.11,249.40593,909.70123,1.3204329,73.66036,0.34479797,0.0
2018-01-01 09:00:00,8.4,249.88788,909.01984,1.3342502,74.75556,0.38969517,0.0
2018-01-01 10:00:00,7.84,250.54065,908.4563,1.2741537,75.319534,0.32187998,0.0
2018-01-01 11:00:00,7.31,251.06857,907.90814,1.269632,76.57513,0.21936,0.0
2018-01-01 12:00:00,7.28,251.39575,907.7157,1.3313693,77.94577,0.18519163,0.0
2018-01-01 13:00:00,7.47,251.73102,907.2441,1.4501756,79.2885,0.17032027,0.0
2018-01-01 14:00:00,7.36,252.06837,907.2645,1.4813744,80.064186,0.14567375,0.0
2018-01-01 15:00:00,7.17,252.42,907.4894,1.5232176,80.731705,0.117853284,0.0
2018-01-01 16:00:00,7.17,252.85135,907.66736,1.6021104,81.29048,0.10834634,0.0
2018-01-01 17:00:00,6.93,253.35394,907.8643,1.6486418,81.12949,0.08970499,0.0
2018-01-01 18:00:00,7.14,253.93845,908.36487,1.6335281,80.26133,0.08260599,0.0
2018-01-01 19:00:00,7.25,254.35338,909.0483,1.6583061,79.57878,0.07519126,0.0
2018-01-01 20:00:00,7.62,255.00098,909.29865,1.6447437,80.16196,0.060230494,0.0
2018-01-01 21:00:00,8.81,255.71593,909.407,1.6733594,80.7458,0.056296587,0.0
2018-01-01 22:00:00,10.55,256.3095,909.74396,1.7466023,81.29333,0.08581579,0.0
2018-01-01 23:00:00,11.44,256.96664,909.83167,1.7937773,82.001945,0.20840764,0.0
2018-01-02 00:00:00,11.56,257.46286,909.6202,1.8266932,82.57628,3.3782065,0.0
2018-01-02 01:00:00,11.52,258.21124,909.4473,1.8426391,83.852234,0.0,0.0
2018-01-02 02:00:00,11.6,258.41946,908.8066,1.8843911,85.12438,0.51995367,0.0
2018-01-02 03:00:00,11.46,258.78094,908.1756,2.005246,85.925224,0.7876456,0.0
2018-01-02 04:00:00,11.49,259.28644,907.79224,2.0209894,86.62961,0.7519536,0.0
2018-01-02 05:00:00,11.17,259.8189,907.56055,2.1584778,86.75128,0.7285252,0.0
2018-01-02 06:00:00,10.87,260.5819,907.5389,2.1442926,86.819496,0.6434396,0.0
2018-01-02 07:00:00,10.03,261.75824,907.3114,2.3181057,86.175385,0.41972846,0.12
2018-01-02 08:00:00,8.6,262.529,908.111,2.3775,86.30617,0.22022426,0.12
2018-01-02 09:00:00,7.37,263.34222,908.72955,2.4428396,86.097725,0.122360885,0.0
2018-01-02 10:00:00,7.26,264.33792,909.3592,2.4811313,85.959366,0.08003414,0.0
2018-01-02 11:00:00,6.69,264.9544,910.1113,2.4785316,86.152435,0.06882846,0.0
2018-01-02 12:00:00,6.58,265.4958,910.83545,2.4068909,86.92875,0.06000977,0.0
2018-01-02 13:00:00,7.01,265.7586,911.21014,2.296584,87.75971,0.044085085,0.0
2018-01-02 14:00:00,7.27,266.13806,911.7721,2.1370995,88.06917,0.028304756,0.0
2018-01-02 15:00:00,7.24,266.36487,911.87024,1.9774003,88.367966,0.019818544,0.0
2018-01-02 16:00:00,7.3,266.63318,911.8312,1.8256456,88.65411,0.020995736,0.0
2018-01-02 17:00:00,7.59,266.7801,911.81305,1.7161611,88.98882,0.021323562,0.0
2018-01-02 18:00:00,8.16,266.24548,911.7664,1.7883028,89.804855,0.024154782,0.0
2018-01-02 19:00:00,8.67,266.91003,911.1847,1.9384395,92.84655,0.055342913,0.0
2018-01-02 20:00:00,8.52,266.94293,911.1311,1.8933437,92.70171,0.09794533,0.0
2018-01-02 21:00:00,8.71,267.2473,910.6769,1.8487022,92.34328,0.113636255,0.0
2018-01-02 22:00:00,8.6,267.30588,910.6164,1.8144982,92.23135,0.107720494,0.0
2018-01-02 23:00:00,8.9,267.30914,909.84106,1.7399856,91.97918,0.08456409,0.0
2018-01-03 00:00:00,9.26,267.11172,909.5693,1.7073376,91.64111,5.3478656,0.0
2018-01-03 01:00:00,9.26,266.9182,909.5076,1.6699946,91.36144,0.0,0.0
2018-01-03 02:00:00,9.41,267.1116,909.1895,1.5842005,91.29135,0.07041544,0.0
2018-01-03 03:00:00,9.83,267.21616,908.7502,1.5304838,91.29435,0.08013472,0.0
2018-01-03 04:00:00,10.61,267.26465,908.3613,1.4814972,91.25908,0.10709837,0.0
