datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,8.37,271.50253,1020.5497,3.8933594,27.265448,0.02385676,0.0
2018-01-01 01:00:00,8.08,271.39447,1021.09015,3.86161,27.629631,0.0,0.0
2018-01-01 02:00:00,8.05,271.3451,1021.6322,3.7979658,27.685043,0.005343929,0.0
2018-01-01 03:00:00,7.83,271.1885,1021.8049,3.6369982,27.73912,0.0026375055,0.0
2018-01-01 04:00:00,7.23,271.0456,1022.0195,3.6749525,27.366785,0.0011436641,0.0
2018-01-01 05:00:00,6.69,270.8589,1022.14594,3.7719593,27.128738,0.0,0.0
2018-01-01 06:00:00,6.41,270.54456,1022.2418,3.8801963,27.093815,0.0,0.0
2018-01-01 07:00:00,5.82,269.60486,1023.1783,4.032963,28.561392,0.0,0.0
2018-01-01 08:00:00,5.68,269.15594,1023.35126,4.060835,29.689425,0.0,0.0
2018-01-01 09:00:00,5.79,268.96796,1023.7598,4.5912986,29.13528,0.0,0.0
2018-01-01 10:00:00,5.39,268.4879,1023.88635,4.57552,29.422287,0.0,0.0
2018-01-01 11:00:00,4.78,268.0588,1024.3081,4.514459,29.615227,0.0,0.0
2018-01-01 12:00:00,4.33,267.6848,1025.0957,4.4844646,30.290854,0.0,0.0
2018-01-01 13:00:00,3.7,267.54742,1025.9341,4.7189794,32.3746,0.0,0.0
2018-01-01 14:00:00,3.42,268.14648,1026.9346,5.134841,32.972454,0.0,0.0
2018-01-01 15:00:00,3.33,269.10358,1027.5394,5.144866,32.56236,0.0,0.0
2018-01-01 16:00:00,3.3,270.05447,1027.6073,5.0964746,31.552055,0.0,0.0
2018-01-01 17:00:00,3.07,270.67426,1026.8542,4.932167,31.122976,0.0,0.0
2018-01-01 18:00:00,2.64,271.25485,1025.9949,4.7873387,30.756907,0.0,0.0
2018-01-01 19:00:00,2.16,271.06042,1025.5983,4.742385,29.215712,0.0,0.0
2018-01-01 20:00:00,1.86,271.1338,1025.4487,4.4921265,28.50044,0.0,0.0
2018-01-01 21:00:00,1.71,270.96985,1025.7169,4.1300383,26.939041,0.0,0.0
2018-01-01 22:00:00,1.85,270.29974,1026.5239,2.9528155,26.902708,0.0,0.0
2018-01-01 23:00:00,1.74,269.3143,1027.1117,2.2545779,29.295496,0.0,0.0
2018-01-02 00:00:00,1.97,268.66208,1027.5402,2.0563443,32.395317,0.017905235,0.0
2018-01-02 01:00:00,1.97,267.98468,1027.6874,2.013158,36.623726,0.0,0.0
2018-01-02 02:00:00,1.76,267.4097,1027.8766,2.0739498,39.306484,0.0,0.0
2018-01-02 03:00:00,1.79,267.17157,1028.2456,2.2523167,34.38678,0.0,0.0
2018-01-02 04:00:00,1.91,267.35284,1028.5923,2.668306,33.49176,0.0,0.0
