datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,2.44,254.37949,971.40967,2.6389494,57.72046,0.037685037,0.0
2018-01-01 01:00:00,2.27,253.45697,971.86017,2.478147,59.763737,0.0,0.0
2018-01-01 02:00:00,2.19,251.94276,972.1122,2.1405091,63.07258,0.0,0.0
2018-01-01 03:00:00,2.19,251.61038,972.4348,1.6918699,58.649193,0.0,0.0
2018-01-01 04:00:00,2.0,253.35614,972.54944,1.347841,52.41162,0.0,0.0
2018-01-01 05:00:00,2.04,252.97803,972.8859,1.1635036,53.67133,0.0,0.0
2018-01-01 06:00:00,2.14,252.62852,973.1118,1.1543003,54.880196,0.0,0.0
2018-01-01 07:00:00,2.09,252.17517,973.1883,1.1995019,58.703728,0.0,0.0
2018-01-01 08:00:00,2.15,251.92155,973.0012,1.0637234,59.534473,0.0,0.0
2018-01-01 09:00:00,2.22,251.66327,972.9498,0.8494915,60.45068,0.0,0.0
2018-01-01 10:00:00,1.99,251.41565,972.6063,0.83890235,61.41864,0.0,0.0
2018-01-01 11:00:00,2.1,251.17795,972.5581,0.8222437,62.27265,0.0,0.0
2018-01-01 12:00:00,1.92,250.92896,972.2757,0.69940716,63.327713,0.0,0.0
2018-01-01 13:00:00,1.81,250.7525,972.46405,0.44287002,64.10736,0.0,0.0
2018-01-01 14:00:00,1.82,250.5508,972.4445,0.2291223,65.19634,0.0,0.0
2018-01-01 15:00:00,1.76,251.63875,972.7294,0.16516465,60.642654,0.0,0.0
2018-01-01 16:00:00,2.08,253.70486,972.77734,0.27844727,52.46095,0.0,0.0
2018-01-01 17:00:00,2.25,255.27777,972.6043,0.6236803,46.89878,0.0,0.0
2018-01-01 18:00:00,2.46,256.9033,971.70483,1.1640601,47.86272,0.0,0.0
2018-01-01 19:00:00,2.54,257.99207,970.8883,1.5309296,50.61127,0.0,0.0
2018-01-01 20:00:00,2.63,258.94434,969.7187,1.7211663,49.880817,0.0,0.0
2018-01-01 21:00:00,2.92,259.42297,969.18695,2.1775553,49.733612,0.0016242267,0.0
2018-01-01 22:00:00,3.19,259.50482,968.56396,2.6401482,49.813305,0.001013279,0.0
2018-01-01 23:00:00,3.4,258.88852,968.26166,2.382155,52.77133,0.0,0.0
2018-01-02 00:00:00,3.83,257.70895,968.1202,2.5955904,55.15828,0.0036299229,0.0
2018-01-02 01:00:00,3.76,256.72296,967.9473,2.7105782,56.562935,0.0,0.0
2018-01-02 02:00:00,3.76,255.84329,968.21655,2.694549,57.777798,0.0,0.0
2018-01-02 03:00:00,3.75,254.9118,968.02563,2.480139,59.685303,0.0,0.0
2018-01-02 04:00:00,3.92,253.80986,968.2723,2.2520256,61.28679,0.0,0.0
2018-01-02 05:00:00,3.64,252.62944,967.88055,2.2202678,61.774307,0.0,0.0
