datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,4.15,262.1744,904.5397,1.002492,71.121735,0.15857816,0.0
2018-01-01 01:00:00,3.89,261.27924,904.77014,1.2029562,73.98982,0.0,0.0
2018-01-01 02:00:00,3.51,260.75134,904.4322,1.5029659,76.44084,0.094419345,0.0
2018-01-01 03:00:00,2.96,260.58304,904.1348,1.7252501,77.102715,0.099848956,0.0
2018-01-01 04:00:00,2.66,261.16278,903.5994,1.7616475,76.23211,0.09731576,0.0
2018-01-01 05:00:00,2.16,261.3042,902.90594,1.73225,76.50056,0.07507205,0.0
2018-01-01 06:00:00,2.0,261.3551,902.1418,1.6375504,76.323326,0.056922436,0.0
2018-01-01 07:00:00,2.3,261.5619,901.6183,1.3737248,75.46796,0.03799796,0.0
2018-01-01 08:00:00,2.32,261.71063,901.53125,1.2316346,75.125565,0.075377524,0.0
2018-01-01 09:00:00,2.25,261.88397,901.52985,1.1012026,74.39955,0.090904534,0.0
2018-01-01 10:00:00,2.23,261.35706,901.4063,1.1041707,75.36634,0.13235211,0.0
2018-01-01 11:00:00,2.03,260.64084,901.22815,1.1561803,76.91897,0.06172061,0.0
2018-01-01 12:00:00,1.97,260.4856,901.0357,1.1371197,78.546036,0.112995505,0.0
2018-01-01 13:00:00,1.97,260.51422,900.9441,1.1403304,79.44497,0.14135242,0.0
2018-01-01 14:00:00,1.99,260.34375,901.03455,1.2752038,79.81094,0.11971593,0.0
2018-01-01 15:00:00,2.01,260.16608,901.03937,1.3839542,80.12614,0.075906515,0.0
2018-01-01 16:00:00,1.98,260.26932,901.01733,1.4746238,80.400826,0.13685226,0.0
2018-01-01 17:00:00,1.97,260.1059,900.9443,1.5040294,80.88722,0.052422285,0.0
2018-01-01 18:00:00,2.04,260.374,900.89484,1.5523988,80.70455,0.052908085,0.0
2018-01-01 19:00:00,2.12,259.61316,900.9283,1.5190089,80.28802,0.0075548887,0.0
2018-01-01 20:00:00,2.06,259.7002,900.86865,1.5334525,80.20784,0.015050173,0.0
2018-01-01 21:00:00,2.11,259.45032,900.467,1.592395,80.95091,0.016734004,0.0
2018-01-01 22:00:00,1.95,259.4931,899.294,1.7454361,80.643425,0.01513958,0.0
2018-01-01 23:00:00,1.82,259.48422,898.20166,1.9705529,80.780655,0.010594726,0.0
2018-01-02 00:00:00,1.79,259.58786,897.0602,2.1285784,81.20211,1.6540825,0.0
2018-01-02 01:00:00,2.15,260.0374,895.5073,2.3877275,81.58892,0.0,0.0
2018-01-02 02:00:00,2.89,260.689,893.77655,2.6648965,81.204285,0.0022966415,0.0
