datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,24.51,291.24667,954.9197,5.3243937,78.488464,7.397339,0.0
2018-01-01 01:00:00,24.45,291.3554,954.8002,5.4207273,78.0115,0.0,0.0
2018-01-01 02:00:00,24.44,291.45056,954.5422,5.3363132,77.35231,0.10537915,0.0
2018-01-01 03:00:00,24.56,291.22952,954.4348,5.263284,78.3754,0.14691055,0.0
2018-01-01 04:00:00,24.67,290.70575,954.22943,4.774733,80.99868,0.2046302,0.0
2018-01-01 05:00:00,24.78,290.49756,954.0659,4.7123737,81.85246,0.2572462,0.0
2018-01-01 06:00:00,25.13,290.15784,953.9618,4.5834703,83.9491,0.4022941,0.0
2018-01-01 07:00:00,25.51,289.88025,954.39825,4.0088935,86.474335,0.26526302,0.0
2018-01-01 08:00:00,25.73,289.46454,954.89124,4.0513334,89.03555,0.3119856,0.0
2018-01-01 09:00:00,26.31,289.13788,955.52985,3.9766958,91.43928,0.49697608,0.0
2018-01-01 10:00:00,26.67,288.80237,955.94635,3.8308275,94.34922,0.6285086,0.0
2018-01-01 11:00:00,27.41,288.56662,956.0581,3.6484237,96.6024,0.7137358,0.0
2018-01-01 12:00:00,27.77,288.42114,956.0057,3.5130043,97.91655,0.22292137,0.0
2018-01-01 13:00:00,27.48,288.48102,955.7441,3.138722,98.146286,0.18756092,0.0
2018-01-01 14:00:00,27.13,288.51562,955.4345,2.618931,98.163956,0.1116693,0.0
2018-01-01 15:00:00,25.87,288.4317,955.3894,2.5180542,98.84852,0.07772446,0.0
2018-01-01 16:00:00,24.26,288.48026,955.26733,2.5335414,98.93298,0.07456541,0.0
2018-01-01 17:00:00,23.05,288.43988,955.3543,2.6676006,99.63052,0.06952882,0.0
2018-01-01 18:00:00,21.86,288.56735,955.89484,2.8445892,99.7053,0.09576371,0.0
2018-01-01 19:00:00,21.78,289.18542,956.0583,3.3779638,93.59999,0.16611814,0.0
2018-01-01 20:00:00,22.44,289.97363,956.29865,3.1258159,89.259605,0.35862625,0.0
2018-01-01 21:00:00,23.58,290.30188,956.707,2.9309785,90.66398,0.39824843,0.0
2018-01-01 22:00:00,23.7,291.05365,956.924,2.9813323,87.443596,0.31675398,0.0
2018-01-01 23:00:00,24.29,291.14438,957.17163,2.958931,87.38083,0.44710934,0.0
2018-01-02 00:00:00,23.64,292.07028,957.3801,2.4791472,89.23388,6.450498,0.0
2018-01-02 01:00:00,24.28,292.89288,957.1873,2.3905485,88.93802,0.0,0.0
2018-01-02 02:00:00,24.73,293.22806,957.16656,2.4467976,87.9397,0.24033524,0.0
2018-01-02 03:00:00,24.48,291.7536,956.84564,2.3384895,88.26745,0.84630775,0.0
2018-01-02 04:00:00,22.74,291.74933,956.74225,1.6055211,86.88391,0.18482655,0.0
2018-01-02 05:00:00,21.46,291.5064,956.37054,1.5209576,84.90403,0.042304397,0.0
2018-01-02 06:00:00,21.06,291.40222,956.3289,1.5049694,84.7216,0.003837049,0.0
2018-01-02 07:00:00,20.69,291.09418,956.7314,1.6781205,88.146645,0.010192394,0.0
2018-01-02 08:00:00,21.85,290.195,957.331,1.6881356,94.20399,0.0065416098,0.0
2018-01-02 09:00:00,23.11,289.3051,958.0795,1.8599061,99.03346,0.009991229,0.0
2018-01-02 10:00:00,23.43,289.2051,958.28925,1.5743562,99.28391,0.00975281,0.0
2018-01-02 11:00:00,24.23,289.14777,958.30133,1.3315508,99.42257,0.0061392784,0.0
2018-01-02 12:00:00,24.78,288.95673,958.2355,1.2017044,99.46636,0.016059028,0.0
