datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,46.73,298.34238,964.3597,2.6955347,84.33736,25.593012,0.0
2018-01-01 01:00:00,47.44,301.10345,963.86017,2.5568697,70.83946,0.0,0.0
2018-01-01 02:00:00,49.09,302.0111,963.3022,2.3159695,66.71901,0.048659742,0.0
2018-01-01 03:00:00,50.9,302.77835,962.3148,2.4647155,63.166653,0.18117204,0.11
2018-01-01 04:00:00,52.12,303.1999,961.49945,2.3319874,61.82931,0.09531528,5.21
2018-01-01 05:00:00,53.87,303.60303,960.77594,2.2810616,60.858906,0.06863475,22.119999
2018-01-01 06:00:00,54.28,303.92737,959.4218,1.9301184,58.586266,0.010922551,2.23
2018-01-01 07:00:00,50.68,301.10876,959.7983,1.4241585,72.43312,2.2738576,0.0
2018-01-01 08:00:00,47.72,298.75165,960.67126,1.624614,87.641335,3.7556217,0.0
2018-01-01 09:00:00,46.37,297.66718,961.9398,2.4752567,93.50816,2.0985305,0.0
2018-01-01 10:00:00,45.32,296.87268,962.44635,1.9025632,96.070946,0.7004142,0.0
2018-01-01 11:00:00,42.92,296.6135,962.4581,1.573903,96.121346,0.0021606684,0.0
2018-01-01 12:00:00,40.41,296.44067,962.2657,0.93326885,96.6715,0.0,0.0
2018-01-01 13:00:00,39.36,296.1939,962.26404,1.2383815,97.59272,0.0,0.0
2018-01-01 14:00:00,37.98,296.0,962.0045,1.7683902,98.74577,0.0,0.0
2018-01-01 15:00:00,37.86,296.27936,961.33936,2.1357586,97.43015,0.0,0.0
2018-01-01 16:00:00,37.89,296.50174,960.64734,1.9203453,95.944664,0.010728836,0.0
2018-01-01 17:00:00,38.35,296.477,960.3543,1.560682,96.37646,0.028207898,0.0
2018-01-01 18:00:00,39.46,296.64157,960.36487,1.4533211,94.875145,0.027129427,0.0
2018-01-01 19:00:00,40.49,296.27527,961.14825,0.83129877,97.33855,0.027015805,0.0
2018-01-01 20:00:00,41.33,296.4756,961.5887,1.0993948,96.40101,0.029414892,0.0
2018-01-01 21:00:00,42.94,297.16516,962.07697,1.7954383,91.788536,0.032663345,0.0
2018-01-01 22:00:00,44.46,298.27045,962.394,1.4747615,86.90574,0.36783516,0.0
2018-01-01 23:00:00,45.35,299.4432,962.38165,1.4361469,80.2223,0.025168061,0.0
2018-01-02 00:00:00,48.18,299.916,962.3002,0.94667035,77.05167,9.904528,0.0
2018-01-02 01:00:00,48.24,300.8343,961.6273,0.38617802,73.09713,0.0,0.0
2018-01-02 02:00:00,48.05,301.6636,961.1166,0.4131492,66.85399,0.030858442,0.0
2018-01-02 03:00:00,48.2,301.98798,960.3656,0.63073987,63.9615,0.029999763,0.0
2018-01-02 04:00:00,48.07,302.2298,959.5223,1.3452554,61.770134,0.017642975,1.8799999
2018-01-02 05:00:00,49.11,301.77594,959.2205,2.0733392,61.885857,0.33590198,11.15
2018-01-02 06:00:00,50.21,300.64246,958.8189,1.9723046,66.37304,0.48146397,22.02
2018-01-02 07:00:00,48.69,300.01215,958.3914,1.0351784,77.73352,1.0615289,11.17
2018-01-02 08:00:00,44.85,298.4411,959.261,2.0981855,83.26192,2.0498111,1.66
2018-01-02 09:00:00,41.87,296.39886,960.5595,2.1077073,93.17487,6.337896,0.0
2018-01-02 10:00:00,39.05,295.52737,961.5192,2.016326,95.19467,8.301645,0.0
2018-01-02 11:00:00,37.08,294.91144,962.45135,1.996254,96.63489,5.869396,0.0
2018-01-02 12:00:00,34.91,294.59344,962.83545,1.3583997,95.11265,3.6191828,0.0
2018-01-02 13:00:00,33.08,294.4129,961.72015,1.0129982,94.600685,0.2463162,0.0
2018-01-02 14:00:00,32.03,294.2494,960.9321,1.153334,93.82227,0.0,0.0
2018-01-02 15:00:00,30.24,294.00745,961.14026,1.2052265,94.569305,0.0,0.0
2018-01-02 16:00:00,28.08,293.7406,960.75116,1.2336673,95.74899,0.0,0.0
2018-01-02 17:00:00,26.62,293.45587,960.5231,1.3459544,96.7518,0.0,0.0
2018-01-02 18:00:00,24.87,293.4154,960.7664,1.2657348,97.15406,0.0,0.0
2018-01-02 19:00:00,25.21,294.037,961.2947,1.0586997,96.52363,0.0,0.0
2018-01-02 20:00:00,26.07,294.18317,962.0411,0.98533225,96.266525,0.0,0.0
2018-01-02 21:00:00,25.95,295.68677,962.7369,0.89370257,88.84257,0.0,0.0
2018-01-02 22:00:00,25.43,297.7043,963.4964,0.9930147,77.48892,0.0,0.0
2018-01-02 23:00:00,25.0,299.99078,963.6211,1.4755949,66.84799,0.0,0.0
2018-01-03 00:00:00,27.42,302.16446,963.3993,1.8206309,56.78679,28.572086,0.0
2018-01-03 01:00:00,27.96,304.08813,963.3176,2.2382782,46.90309,0.0,0.0
2018-01-03 02:00:00,28.41,305.48465,962.83954,2.8953483,38.234108,0.0,0.0
2018-01-03 03:00:00,28.99,305.98764,962.4302,3.4700863,33.316998,0.0,0.0
2018-01-03 04:00:00,28.77,306.03613,961.9713,3.7358541,30.582438,0.0,0.0
2018-01-03 05:00:00,28.83,305.953,961.7553,3.808013,28.880608,0.0,0.0
2018-01-03 06:00:00,28.96,305.67706,961.7525,3.4512856,29.226917,0.0,0.0
2018-01-03 07:00:00,29.33,305.44415,962.3781,3.0791817,28.982758,0.0,0.0
2018-01-03 08:00:00,30.97,303.47314,963.5522,1.9150665,39.01999,0.0,0.0
2018-01-03 09:00:00,32.59,301.3015,964.8088,2.913146,45.195683,0.0,0.0
2018-01-03 10:00:00,33.73,298.89917,966.03455,4.0061636,60.8158,0.0,0.0
2018-01-03 11:00:00,34.6,297.02548,967.07794,4.061672,77.92978,0.0,0.0
