datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,15.19,290.97128,1012.8897,3.4554749,53.657955,3.6443472,0.55
2018-01-01 01:00:00,15.98,290.5312,1013.21014,2.9659214,56.85802,0.0,0.0
2018-01-01 02:00:00,15.89,289.86072,1012.97217,2.7085319,61.712086,0.0,0.0
2018-01-01 03:00:00,15.53,289.41116,1012.48486,2.4893162,66.75015,0.0,0.0
2018-01-01 04:00:00,15.56,289.2292,1012.24945,2.526757,70.41352,0.0,0.0
2018-01-01 05:00:00,16.89,289.146,1011.9359,2.4568205,72.850006,0.0,0.0
2018-01-01 06:00:00,18.5,288.6969,1011.8218,2.174289,76.43482,0.0,0.0
2018-01-01 07:00:00,18.76,287.9994,1011.4383,2.2163053,81.88576,0.0,0.0
2018-01-01 08:00:00,18.53,287.61493,1011.5513,2.0433602,84.04906,0.0,0.0
2018-01-01 09:00:00,19.78,287.2121,1011.54987,1.8669744,86.73844,0.0,0.0
2018-01-01 10:00:00,19.62,288.9391,1011.86633,1.2982477,82.723274,0.0,0.0
2018-01-01 11:00:00,18.55,291.84006,1012.1181,1.286591,73.313736,0.0,0.0
2018-01-01 12:00:00,18.03,293.88403,1012.3057,1.5040855,65.184494,0.0,0.0
2018-01-01 13:00:00,18.25,295.3521,1012.1941,1.3349428,58.34256,0.0,0.0
2018-01-01 14:00:00,18.42,296.73047,1011.91455,1.1275367,53.31936,0.0,0.01
2018-01-01 15:00:00,18.85,298.01373,1011.6794,1.234783,48.658283,0.0,0.0
2018-01-01 16:00:00,19.37,299.03494,1011.1373,1.4975619,44.89587,0.0,4.98
2018-01-01 17:00:00,19.68,299.76215,1010.4643,1.9307797,40.71616,0.0,0.0
2018-01-01 18:00:00,19.74,299.9697,1009.8049,2.3391137,39.09952,0.0,0.0
2018-01-01 19:00:00,18.94,299.97644,1008.95825,2.111323,37.454433,0.0,0.0
2018-01-01 20:00:00,18.27,299.45996,1008.4787,2.833053,40.714584,0.0,0.0
2018-01-01 21:00:00,18.08,298.6593,1007.99695,3.563013,46.24813,0.0,0.0
2018-01-01 22:00:00,18.28,297.16693,1007.764,3.8297486,55.12887,0.0,0.0
2018-01-01 23:00:00,18.1,295.17758,1008.0916,3.6717594,63.31534,0.0,0.0
2018-01-02 00:00:00,18.27,293.52927,1008.40015,3.7171183,70.15303,0.0,0.0
2018-01-02 01:00:00,18.36,292.63116,1008.95734,3.770814,74.7018,0.0,0.0
2018-01-02 02:00:00,17.71,292.0347,1008.8166,3.9043655,78.40349,0.0,0.0
2018-01-02 03:00:00,16.88,291.6872,1008.7056,4.137844,80.78309,0.0,0.0
2018-01-02 04:00:00,16.51,291.388,1008.04224,4.1827416,82.433426,0.0,0.0
2018-01-02 05:00:00,17.03,291.08063,1007.61053,4.004212,83.536476,0.0,0.0
2018-01-02 06:00:00,17.56,290.74597,1006.96893,3.8075051,84.45742,0.0,0.0
2018-01-02 07:00:00,18.71,290.32074,1006.5214,3.8867006,87.154045,0.0,0.0
2018-01-02 08:00:00,19.25,290.02118,1006.541,3.7414775,86.99589,0.0,0.0
2018-01-02 09:00:00,19.86,289.78558,1006.4995,3.6124263,86.27186,0.0,0.0
2018-01-02 10:00:00,20.13,291.0723,1006.2992,3.47016,79.4112,0.0,0.0
2018-01-02 11:00:00,19.89,293.42902,1006.0313,4.309206,66.08658,0.0,0.0
2018-01-02 12:00:00,20.17,296.03876,1005.60547,4.5273123,52.608574,0.0,0.0
2018-01-02 13:00:00,20.78,298.5301,1005.1202,5.0246153,42.58316,0.0,0.0
2018-01-02 14:00:00,21.8,300.4779,1004.3321,5.9085383,36.459442,0.0,0.0
2018-01-02 15:00:00,21.87,301.9254,1003.9002,6.348101,31.614367,0.0,0.0
2018-01-02 16:00:00,22.75,302.76794,1002.8512,6.4726295,29.760933,0.009089708,0.0
2018-01-02 17:00:00,23.58,303.5633,1001.793,7.010986,28.68778,0.034704804,0.0
2018-01-02 18:00:00,24.18,299.02087,1002.3064,6.6550674,44.421585,2.1284819,0.0
2018-01-02 19:00:00,23.64,302.42957,1000.28467,6.958382,26.871078,0.32936037,0.0
2018-01-02 20:00:00,22.48,300.4859,1000.4911,4.874738,30.684399,0.026166439,0.0
2018-01-02 21:00:00,21.82,300.44263,1000.22687,4.4903345,30.586824,0.0,0.0
2018-01-02 22:00:00,22.22,299.4504,1001.15643,5.0107465,32.966743,0.0,0.0
2018-01-02 23:00:00,22.56,297.56305,1001.9111,4.538474,37.012127,0.0065118074,0.0
2018-01-03 00:00:00,17.04,295.92422,1003.2993,5.1569533,42.922302,2.5351675,0.0
