datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,39.02,300.6412,981.4497,1.9833442,82.113625,0.89628994,0.0
2018-01-01 01:00:00,40.42,299.998,982.3002,2.0458412,85.615166,0.0,0.0
2018-01-01 02:00:00,41.77,299.6615,982.90216,2.0904157,87.153725,0.0,0.0
2018-01-01 03:00:00,42.55,299.5225,982.76483,2.1272476,87.95442,0.0,0.0
2018-01-01 04:00:00,43.31,299.16278,982.2795,2.242955,89.56421,0.0,0.0
2018-01-01 05:00:00,44.37,298.98193,981.8159,2.3067079,90.15672,0.0,0.0
2018-01-01 06:00:00,45.25,298.75745,981.6218,2.352177,90.957726,0.0,0.0
2018-01-01 07:00:00,47.21,298.58337,981.40826,2.50254,90.07798,0.0,0.0
2018-01-01 08:00:00,48.71,298.4333,981.6312,2.6085105,89.56609,0.0,0.0
2018-01-01 09:00:00,49.49,298.3117,981.9998,2.5138316,89.306274,0.0,0.0
2018-01-01 10:00:00,50.93,298.59143,982.4863,2.4203823,88.950935,0.0,0.0
2018-01-01 11:00:00,52.35,299.70334,983.39813,3.0369036,83.90614,0.0,0.0
2018-01-01 12:00:00,53.03,300.63403,983.7857,2.9018993,80.89045,0.0,0.0
2018-01-01 13:00:00,53.03,301.32086,983.71405,2.771243,78.52341,0.0,0.0
2018-01-01 14:00:00,53.3,302.32422,983.5645,3.0607605,75.29679,0.12597442,0.089999996
2018-01-01 15:00:00,52.87,302.85162,982.71936,3.0210547,74.18242,0.27483702,0.21
2018-01-01 16:00:00,52.38,303.85916,981.28735,3.0918503,67.55087,0.19095838,0.0
2018-01-01 17:00:00,52.87,302.75238,980.2343,2.0438678,72.77219,1.7005354,1.06
2018-01-01 18:00:00,54.28,301.88962,980.48486,2.5245,75.58967,4.113817,3.44
2018-01-01 19:00:00,56.1,297.8905,981.1083,0.92891556,90.48665,5.898044,34.6
2018-01-01 20:00:00,58.35,298.0869,979.9787,1.4940189,88.36591,0.14230609,9.08
2018-01-01 21:00:00,60.35,298.1222,980.027,1.9814918,89.643845,0.0924319,27.0
2018-01-01 22:00:00,61.26,297.93256,980.31396,2.289553,91.52426,1.1193305,3.9499998
2018-01-01 23:00:00,61.11,297.45883,980.62164,1.6253027,94.86446,2.6676059,1.93
2018-01-02 00:00:00,51.71,297.707,981.1802,1.5170254,93.903824,17.646873,1.43
2018-01-02 01:00:00,50.53,297.4671,981.53735,2.029058,93.6722,0.0,0.26999998
2018-01-02 02:00:00,50.16,297.39407,981.8766,2.1785145,95.42354,0.9364188,0.0
2018-01-02 03:00:00,50.59,297.18134,980.96564,3.06379,96.671745,0.03928691,0.0
2018-01-02 04:00:00,52.11,297.1634,980.2223,3.3988144,96.04591,0.015955418,0.0
2018-01-02 05:00:00,53.49,296.98102,979.6005,3.0870125,96.19287,0.055000186,0.0
2018-01-02 06:00:00,54.62,296.89246,979.2389,3.0893774,92.989136,0.68149716,1.12
2018-01-02 07:00:00,54.95,296.21527,979.6114,2.5555322,97.431984,0.058583915,1.16
2018-01-02 08:00:00,54.59,296.2243,979.391,2.618906,97.16901,0.093229115,1.42
2018-01-02 09:00:00,54.22,296.30316,979.6195,2.6616216,96.56143,0.16168505,3.06
2018-01-02 10:00:00,54.08,296.17386,979.9392,2.8384464,97.377754,0.13471395,0.52
2018-01-02 11:00:00,55.19,296.13995,980.19135,2.972656,95.18513,0.37514418,1.43
