datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,57.36,300.7291,993.8697,2.1004727,80.68467,1.8230975,0.0
2018-01-01 01:00:00,58.41,300.46478,994.83014,2.081206,82.55622,0.0,0.0
2018-01-01 02:00:00,58.95,300.16345,995.6022,2.1864913,83.52707,0.0,0.0
2018-01-01 03:00:00,59.55,299.88773,996.0648,2.2589438,84.09912,0.025656074,0.0
2018-01-01 04:00:00,59.01,299.56512,995.7894,2.4355743,84.66594,0.11765584,0.0
2018-01-01 05:00:00,57.46,299.2085,995.14594,2.5030386,85.70662,0.26804954,0.0
2018-01-01 06:00:00,57.69,298.7516,994.9018,2.5745463,87.65261,0.32850355,0.24
2018-01-01 07:00:00,58.85,297.70642,995.08826,2.02164,90.47354,2.9789062,1.39
2018-01-01 08:00:00,59.04,297.5368,995.0112,2.0245907,91.84803,0.5099401,2.4499998
2018-01-01 09:00:00,58.88,297.4621,995.10986,2.2760093,93.63072,0.11857599,0.92999995
2018-01-01 10:00:00,58.7,297.75354,995.80634,2.4396076,92.95321,0.22283196,0.25
2018-01-01 11:00:00,58.51,298.57834,996.6381,2.4981527,91.688225,0.31858683,0.0
2018-01-01 12:00:00,58.11,300.261,997.0257,3.0241992,85.26148,0.0019818544,0.22
2018-01-01 13:00:00,57.57,301.72906,997.2341,3.5208857,78.25236,0.00628829,0.32
2018-01-01 14:00:00,57.95,303.37695,997.10455,4.183559,68.55586,0.1244545,0.19
2018-01-01 15:00:00,58.79,304.35748,996.2394,4.190364,62.765564,0.050202012,0.0
2018-01-01 16:00:00,58.7,305.07596,995.10736,3.9685102,60.59258,0.016719103,0.0
2018-01-01 17:00:00,57.58,305.67426,993.8543,3.7120197,59.515064,0.023424625,0.0
2018-01-01 18:00:00,56.41,305.76462,992.83484,3.2739978,59.068687,0.024148729,0.0
2018-01-01 19:00:00,55.77,304.4569,991.58826,2.2751396,64.04896,0.30967593,0.0
2018-01-01 20:00:00,56.09,304.39355,990.7287,2.9516385,64.54782,0.14932454,0.0
2018-01-01 21:00:00,56.35,302.94055,990.50696,2.9105775,71.99598,0.66399574,0.0
2018-01-01 22:00:00,56.53,302.20795,991.12396,1.8467658,75.21507,0.0,0.53999996
2018-01-01 23:00:00,57.57,301.64633,991.6516,1.4067585,78.17384,0.0,0.0
2018-01-02 00:00:00,59.13,301.09763,993.02014,1.2465013,81.576385,6.2897296,0.0
2018-01-02 01:00:00,59.47,300.49835,994.78735,1.1257006,86.22478,0.0,2.08
2018-01-02 02:00:00,58.98,300.04056,995.47656,1.2525563,87.9229,0.0,5.95
2018-01-02 03:00:00,57.64,299.7751,995.77563,1.5380359,88.146484,0.0,2.27
2018-01-02 04:00:00,56.41,299.6419,995.1523,1.7028567,88.31969,0.0,0.0
2018-01-02 05:00:00,57.23,299.55328,994.6506,1.921779,88.34779,0.0030398369,0.0
2018-01-02 06:00:00,57.55,299.3651,994.0989,1.9661685,88.71425,0.01103431,0.0
2018-01-02 07:00:00,56.64,299.1391,993.4514,2.1400132,87.20961,0.056877732,0.0
2018-01-02 08:00:00,55.26,298.945,993.301,2.0361602,87.471085,0.047147274,0.0
2018-01-02 09:00:00,53.29,298.81683,993.5095,1.9562665,87.840385,0.12604892,0.0
2018-01-02 10:00:00,51.63,298.7344,994.0792,1.9119316,88.80276,0.14082342,0.0
2018-01-02 11:00:00,52.02,299.05597,994.7913,1.7737602,88.66417,0.0020861626,0.0
2018-01-02 12:00:00,53.13,299.99774,995.2355,2.2321467,84.22931,0.0,0.0
2018-01-02 13:00:00,53.93,300.9754,995.5602,2.531715,79.46545,0.0,0.0
2018-01-02 14:00:00,53.71,303.25134,995.0821,3.2645516,68.26426,0.0,0.0
2018-01-02 15:00:00,54.16,304.83557,994.55023,3.736571,59.77831,0.006839633,0.0
2018-01-02 16:00:00,54.73,305.83044,993.6612,3.8896608,55.354202,0.002399087,0.0
2018-01-02 17:00:00,54.47,306.4793,992.36304,3.6898696,53.941513,0.0,0.0
2018-01-02 18:00:00,53.79,306.7533,990.8364,3.4261408,52.96861,0.0028908253,0.0
2018-01-02 19:00:00,53.94,302.35144,991.9847,3.8726633,72.12738,1.0605901,0.95
